 ,Label,slice,Saturated,J.D.-2400000,JD_UTC,JD_SOBS,JD_MOBS,HJD_MOBS,BJD_MOBS,ALT_OBJ,AIRMASS,FWHM_Mean,Source_Radius,Sky_Rad(min),Sky_Rad(max),rel_flux_T1,rel_flux_C2,rel_flux_C3,rel_flux_C4,rel_flux_err_T1,rel_flux_err_C2,rel_flux_err_C3,rel_flux_err_C4,rel_flux_SNR_T1,rel_flux_SNR_C2,rel_flux_SNR_C3,rel_flux_SNR_C4,tot_C_cnts,tot_C_err,X(IJ)_T1,Y(IJ)_T1,X(FITS)_T1,Y(FITS)_T1,RA_T1,DEC_T1,Source-Sky_T1,N_Src_Pixels_T1,Source_Error_T1,Source_SNR_T1,Peak_T1,Mean_T1,Sky/Pixel_T1,N_Sky_Pixels_T1,FWHM_T1,Width_T1,X-Width_T1,Y-Width_T1,Angle_T1,Roundness_T1,Variance_T1,X(IJ)_C2,Y(IJ)_C2,X(FITS)_C2,Y(FITS)_C2,RA_C2,DEC_C2,Source-Sky_C2,Source_Error_C2,Source_SNR_C2,Peak_C2,Mean_C2,Sky/Pixel_C2,FWHM_C2,Width_C2,X-Width_C2,Y-Width_C2,Angle_C2,Roundness_C2,Variance_C2,X(IJ)_C3,Y(IJ)_C3,X(FITS)_C3,Y(FITS)_C3,RA_C3,DEC_C3,Source-Sky_C3,Source_Error_C3,Source_SNR_C3,Peak_C3,Mean_C3,Sky/Pixel_C3,FWHM_C3,Width_C3,X-Width_C3,Y-Width_C3,Angle_C3,Roundness_C3,Variance_C3,X(IJ)_C4,Y(IJ)_C4,X(FITS)_C4,Y(FITS)_C4,RA_C4,DEC_C4,Source-Sky_C4,Source_Error_C4,Source_SNR_C4,Peak_C4,Mean_C4,Sky/Pixel_C4,FWHM_C4,Width_C4,X-Width_C4,Y-Width_C4,Angle_C4,Roundness_C4,Variance_C4
75,cpt1m012-fa06-20200224-0142-e91.fits,75,0,58904.37941,2458904.379414,NaN,NaN,NaN,2458904.385324,NaN,1.217711,10.541307,14,30,45,0.198404,0.336825,0.682648,0.520548,0.000472,0.000725,0.001261,0.000999,420.193255,464.552548,541.398747,521.287595,1553358.179,1417.303662,1936.638261,2510.720994,1937.138261,1585.779006,11.046036,-16.406505,308193.2016,615.75216,677.410065,454.958108,10203.22559,500.515015,203.957414,3033,5.453289,8.520801,8.448277,8.593326,75.763474,0.999625,12.639029,1446.722733,2548.649938,1447.222733,1547.850062,11.042347,-16.40284,391382.3822,737.271039,530.852782,12689.03711,635.616742,205.074585,7.653787,9.237643,8.776951,9.698336,61.445726,0.966432,12.947398,1215.988323,2570.775155,1216.488323,1525.724845,11.040609,-16.400648,630195.2628,885.63148,711.577306,20217.45117,1023.456033,208.114443,9.149096,9.789424,11.148109,8.430738,358.318129,0.925577,13.156085,1418.276025,3016.440249,1418.776025,1080.059751,11.042104,-16.352203,531780.5344,825.129061,644.481645,17444.88086,863.627558,201.138607,9.071598,9.815712,11.151557,8.479868,1.764223,0.928314,12.659868
76,cpt1m012-fa06-20200224-0143-e91.fits,76,0,58904.38053,2458904.380532,NaN,NaN,NaN,2458904.386443,NaN,1.212985,10.366348,14,30,45,0.197711,0.336096,0.683526,0.520775,0.00047,0.000722,0.001258,0.000995,420.548666,465.755545,543.333111,523.132643,1559377.226,1417.937947,1936.638261,2510.720994,1937.138261,1585.779006,11.046037,-16.406468,308306.109,615.75216,677.385071,455.141576,12503.55371,500.69838,202.456186,3078,5.362744,8.06475,7.990249,8.13925,63.165511,0.999028,10.231698,1446.722733,2548.649938,1447.222733,1547.850062,11.042347,-16.402806,392262.4867,737.296297,532.028288,15573.93262,637.046059,203.63653,8.001595,8.982978,8.293706,9.672251,62.598346,0.929939,10.45399,1215.988323,2570.775155,1216.488323,1525.724845,11.040609,-16.400615,633120.4423,886.244607,714.385664,25045.17773,1028.206612,206.136954,8.928404,9.316455,10.69651,7.9364,352.914438,0.910599,10.526855,1418.276025,3016.440249,1418.776025,1080.059751,11.042104,-16.352169,533994.2973,825.537818,646.844137,20898.54297,867.222776,199.553503,8.631343,9.206166,10.478757,7.933575,350.907127,0.918464,10.89535
77,cpt1m012-fa06-20200224-0144-e91.fits,77,0,58904.38165,2458904.381653,NaN,NaN,NaN,2458904.387564,NaN,1.20833,10.2691,14,30,45,0.197655,0.335385,0.68752,0.518449,0.000469,0.00072,0.001264,0.000991,421.186153,465.912354,544.091066,523.000538,1561861.904,1419.071498,1936.638261,2510.720994,1937.138261,1585.779006,11.046035,-16.406471,308710.0356,615.75216,677.162162,455.887899,13024.09668,501.354369,202.439218,3006,5.03385,7.936531,7.841753,8.031309,65.859289,0.998712,9.89818,1446.722733,2548.649938,1447.222733,1547.850062,11.042345,-16.402809,392264.7736,737.19687,532.103146,16601.46875,637.049773,202.602229,7.766852,8.772097,8.079729,9.464465,65.293814,0.941858,9.695342,1215.988323,2570.775155,1216.488323,1525.724845,11.040607,-16.400618,636325.2894,888.096558,716.504623,26873.47656,1033.41138,205.933232,9.045518,9.364528,10.974888,7.754168,354.62119,0.884383,9.792982,1418.276025,3016.440249,1418.776025,1080.059751,11.042102,-16.352172,533271.8415,825.584153,645.932749,21940.64063,866.049486,199.836491,8.863831,9.226714,10.681012,7.772417,353.030121,0.899556,10.310396
78,cpt1m012-fa06-20200224-0145-e91.fits,78,0,58904.38277,2458904.382770,NaN,NaN,NaN,2458904.388681,NaN,1.203802,10.334917,14,30,45,0.198274,0.335259,0.687551,0.518586,0.00047,0.00072,0.001265,0.000992,421.48455,465.68282,543.583136,522.727334,1557065.7,1415.755374,1936.638261,2510.720994,1937.138261,1585.779006,11.046037,-16.406478,308724.9023,615.75216,676.547401,456.324127,12015.20215,501.378513,200.869732,2995,5.328639,8.227484,8.296375,8.158592,34.860382,0.997666,10.477807,1446.722733,2548.649938,1447.222733,1547.850062,11.042347,-16.402813,390950.9908,735.003611,531.903497,14902.16016,634.91615,201.336979,7.772836,8.976107,8.408276,9.543937,61.408944,0.945937,10.882641,1215.988323,2570.775155,1216.488323,1525.724845,11.040609,-16.40062,634388.228,886.6204,715.512781,23069.12891,1030.265534,204.417709,9.236907,9.577897,11.165561,7.990233,356.166485,0.894003,11.73283,1418.276025,3016.440249,1418.776025,1080.059751,11.042104,-16.352171,531726.481,823.430166,645.74569,19569.83984,863.539774,197.008691,8.732186,9.40087,10.755944,8.045796,354.794066,0.917547,11.364451
79,cpt1m012-fa06-20200224-0146-e91.fits,79,0,58904.38389,2458904.383887,NaN,NaN,NaN,2458904.389798,NaN,1.199326,10.365207,14,30,45,0.19766,0.334944,0.686684,0.519697,0.00047,0.000719,0.001263,0.000994,420.626203,465.700726,543.827677,523.069579,1558362.025,1416.311558,1936.638261,2510.720994,1937.138261,1585.779006,11.046036,-16.406454,308026.3569,615.75216,676.681824,455.201168,12960.36914,500.244054,201.81737,3036,5.202375,7.87859,7.724173,8.033007,69.937818,0.997374,10.083094,1446.722733,2548.649938,1447.222733,1547.850062,11.042346,-16.40279,391000.7798,735.201307,531.82819,16648.84766,634.997009,202.075369,7.968614,8.765427,7.825828,9.705027,68.78483,0.917539,9.781355,1215.988323,2570.775155,1216.488323,1525.724845,11.040608,-16.400598,634441.7131,886.314733,715.819888,26309.85156,1030.352395,203.764241,9.039244,9.436926,11.095891,7.777962,350.178116,0.868865,10.180706,1418.276025,3016.440249,1418.776025,1080.059751,11.042103,-16.352147,532919.5319,824.538454,646.324655,21628.00391,865.477324,198.318809,8.915679,9.287633,10.767911,7.807356,349.976563,0.890495,10.526832
80,cpt1m012-fa06-20200224-0147-e91.fits,80,0,58904.38501,2458904.385007,NaN,NaN,NaN,2458904.390918,NaN,1.194944,10.172101,14,30,45,0.199063,0.335965,0.685945,0.518977,0.000469,0.000718,0.001258,0.00099,424.125449,467.76389,545.14284,524.442404,1561554.643,1415.277498,1936.638261,2510.720994,1937.138261,1585.779006,11.046037,-16.406473,310847.4247,615.75216,676.602884,459.423736,15057.86426,504.825553,198.007765,3057,4.934684,7.572443,7.535573,7.609313,54.173386,0.999043,8.452562,1446.722733,2548.649938,1447.222733,1547.850062,11.042347,-16.40281,392695.4101,734.581747,534.583675,18798.39453,637.749139,198.73684,7.797137,8.479963,7.737153,9.222773,65.44289,0.92945,8.518131,1215.988323,2570.775155,1216.488323,1525.724845,11.040609,-16.400618,635335.343,886.182542,716.93507,29094.14648,1031.803677,202.151701,8.741364,9.048319,10.59982,7.496818,353.026595,0.882172,9.067754,1418.276025,3016.440249,1418.776025,1080.059751,11.042104,-16.352171,533523.8902,823.456468,647.907826,24112.53125,866.45882,195.321623,8.850013,9.005683,10.560024,7.451342,353.981957,0.882529,9.508353
81,cpt1m012-fa06-20200224-0148-e91.fits,81,0,58904.38613,2458904.386125,NaN,NaN,NaN,2458904.392036,NaN,1.190632,10.142662,14,30,45,0.197882,0.335245,0.686039,0.519831,0.000468,0.000717,0.001258,0.000991,422.757727,467.352434,545.309086,524.678592,1563342.99,1416.658955,1936.638261,2510.720994,1937.138261,1585.779006,11.046036,-16.40649,309358.0642,615.75216,675.936201,457.673466,14293.34668,502.406787,198.856051,3047,5.05308,7.705347,7.709906,7.700788,339.789607,0.999998,8.844898,1446.722733,2548.649938,1447.222733,1547.850062,11.042347,-16.402826,392514.5134,735.239651,533.859284,17590.65625,637.455358,199.266407,7.63269,8.509353,7.965554,9.053152,62.918099,0.952729,9.2776,1215.988323,2570.775155,1216.488323,1525.724845,11.040608,-16.400634,636114.8837,886.721762,717.378225,28292.87891,1033.069675,201.50391,8.890106,9.1752,10.862965,7.487434,356.419227,0.871367,9.497742,1418.276025,3016.440249,1418.776025,1080.059751,11.042103,-16.352187,534713.5925,824.663427,648.402215,23415.05664,868.390932,196.294312,8.822671,9.096962,10.646044,7.547881,355.918092,0.888202,9.693854
82,cpt1m012-fa06-20200224-0149-e91.fits,82,0,58904.38724,2458904.387244,NaN,NaN,NaN,2458904.393155,NaN,1.1864,10.343553,14,30,45,0.198754,0.334997,0.686033,0.520158,0.00047,0.000718,0.00126,0.000993,423.284842,466.63285,544.655768,523.965792,1561256.97,1416.605677,1936.638261,2510.720994,1937.138261,1585.779006,11.046037,-16.406461,310306.201,615.75216,676.866434,458.445249,12281.32422,503.946589,199.696679,3022,5.497658,8.111099,8.127078,8.095121,43.16748,0.996201,10.635682,1446.722733,2548.649938,1447.222733,1547.850062,11.042347,-16.402799,391773.5917,735.062777,532.979772,15447.00488,636.252078,200.886538,8.243604,9.015375,8.317773,9.712976,62.973899,0.931329,10.516467,1215.988323,2570.775155,1216.488323,1525.724845,11.040609,-16.400608,635262.5422,886.397238,716.679289,24402.86719,1031.685447,203.226438,8.784425,9.319724,10.801544,7.837905,351.09497,0.893875,10.988418,1418.276025,3016.440249,1418.776025,1080.059751,11.042104,-16.352159,534220.836,825.078356,647.478911,19834.65039,867.590681,197.609896,8.705865,9.297767,10.711193,7.884341,352.114658,0.904647,11.836248
83,cpt1m012-fa06-20200224-0150-e91.fits,83,0,58904.38836,2458904.388358,NaN,NaN,NaN,2458904.394269,NaN,1.182262,10.292273,14,30,45,0.198335,0.33648,0.68786,0.516761,0.000469,0.000719,0.001261,0.000986,423.18661,468.049142,545.561375,524.193327,1565295.082,1418.121639,1936.638261,2510.720994,1937.138261,1585.779006,11.046037,-16.406496,310452.9844,615.75216,677.548005,458.200721,12167.67383,504.18497,200.411416,3015,5.709683,8.117681,8.175928,8.059434,29.803419,0.999196,10.553488,1446.722733,2548.649938,1447.222733,1547.850062,11.042347,-16.402837,394087.7221,736.668288,534.959532,15041.93359,640.010296,200.218617,7.99959,8.93109,8.493912,9.368268,57.614211,0.947495,11.096197,1215.988323,2570.775155,1216.488323,1525.724845,11.040609,-16.400647,637910.6262,888.232886,718.179473,25090.26758,1035.986014,203.365647,8.742977,9.362031,10.870484,7.853578,355.841906,0.899237,10.43405,1418.276025,3016.440249,1418.776025,1080.059751,11.042103,-16.352196,533296.7332,824.276141,646.987953,20329.70508,866.089911,196.994093,8.373289,9.250937,10.702736,7.799138,359.647063,0.90615,11.011005
84,cpt1m012-fa06-20200224-0151-e91.fits,84,0,58904.38948,2458904.389478,NaN,NaN,NaN,2458904.395389,NaN,1.1782,10.322489,14,30,45,0.197899,0.335114,0.686978,0.519239,0.000468,0.000716,0.001259,0.000989,422.873067,467.819047,545.741648,524.789458,1563628.642,1415.97121,1936.638261,2510.720994,1937.138261,1585.779006,11.046037,-16.406456,309441.2443,615.75216,675.979496,457.767205,13544.52148,502.541874,199.01236,2992,5.280998,7.825584,7.733498,7.91767,53.160601,0.992988,9.787848,1446.722733,2548.649938,1447.222733,1547.850062,11.042347,-16.402793,392471.061,734.308713,534.476922,17856.81641,637.38479,198.443854,8.171315,8.853167,8.037649,9.668685,64.22237,0.913673,8.933144,1215.988323,2570.775155,1216.488323,1525.724845,11.040609,-16.400602,636747.3124,886.606677,718.184657,27974.64258,1034.096758,201.28436,8.839557,9.153595,10.646403,7.660787,349.976019,0.885613,9.731717,1418.276025,3016.440249,1418.776025,1080.059751,11.042104,-16.352156,534410.2685,824.435433,648.21361,22388.91016,867.898325,195.591455,8.705812,9.064301,10.422664,7.705938,350.744248,0.90444,10.480925
