Label,slice,Saturated,J.D.-2400000,JD_UTC,BJD_MOBS,AIRMASS,FWHM_Mean,Source_Radius,Sky_Rad(min),Sky_Rad(max),rel_flux_T1,rel_flux_C2,rel_flux_C3,rel_flux_C4,rel_flux_err_T1,rel_flux_err_C2,rel_flux_err_C3,rel_flux_err_C4,rel_flux_SNR_T1,rel_flux_SNR_C2,rel_flux_SNR_C3,rel_flux_SNR_C4,tot_C_cnts,tot_C_err,X(IJ)_T1,Y(IJ)_T1,X(FITS)_T1,Y(FITS)_T1,RA_T1,DEC_T1,Source-Sky_T1,N_Src_Pixels_T1,Source_Error_T1,Source_SNR_T1,Peak_T1,Mean_T1,Sky/Pixel_T1,N_Sky_Pixels_T1,FWHM_T1,Width_T1,X-Width_T1,Y-Width_T1,Angle_T1,Roundness_T1,Variance_T1,X(IJ)_C2,Y(IJ)_C2,X(FITS)_C2,Y(FITS)_C2,RA_C2,DEC_C2,Source-Sky_C2,Source_Error_C2,Source_SNR_C2,Peak_C2,Mean_C2,Sky/Pixel_C2,FWHM_C2,Width_C2,X-Width_C2,Y-Width_C2,Angle_C2,Roundness_C2,Variance_C2,X(IJ)_C3,Y(IJ)_C3,X(FITS)_C3,Y(FITS)_C3,RA_C3,DEC_C3,Source-Sky_C3,Source_Error_C3,Source_SNR_C3,Peak_C3,Mean_C3,Sky/Pixel_C3,FWHM_C3,Width_C3,X-Width_C3,Y-Width_C3,Angle_C3,Roundness_C3,Variance_C3,X(IJ)_C4,Y(IJ)_C4,X(FITS)_C4,Y(FITS)_C4,RA_C4,DEC_C4,Source-Sky_C4,Source_Error_C4,Source_SNR_C4,Peak_C4,Mean_C4,Sky/Pixel_C4,FWHM_C4,Width_C4,X-Width_C4,Y-Width_C4,Angle_C4,Roundness_C4,Variance_C4
coj1m003-fa19-20200803-0209-e91.fits,30,0,59065.184067,2459065.184067,2459065.185636,1.540339,47.006872,31,55,83,0.827136,3.962933,0.177375,0.053564,0.000285,0.002901,0.000135,0.000092,2905.372892,1366.051886,1310.298105,581.46184,23327916.49,5657.606501,2040.691035,2043.367401,2041.191035,2053.132599,3.310782,-42.641838,19295366,3019.07054,4712.505012,4094.503019,32030.56836,6391.161036,743.279289,10460,29.385134,24.414193,24.352624,24.475762,48.665543,0.998438,394.027963,3516.604521,2708.184293,3517.104521,1388.315707,3.325212,-42.569889,18627487.25,4641.162478,4013.539137,34419.52734,6169.941047,749.092916,48.140452,36.343782,47.36069,25.326874,346.978105,0.618085,364.71988,3584.184128,2099.967827,3584.684128,1996.532173,3.325887,-42.635554,3514421.887,2527.425049,1390.51478,7019.924805,1164.074121,737.120786,36.401645,34.217129,44.13303,24.301228,11.930275,0.658181,366.785659,2807.018644,2606.814882,2807.518644,1489.685118,3.318276,-42.580961,1186007.358,2019.961581,587.143523,2833.729736,392.838571,743.84744,26.300933,26.490518,24.904946,28.07609,59.954793,0.942775,349.00837
coj1m003-fa19-20200803-0210-e91.fits,31,0,59065.184723,2459065.184723,2459065.186292,1.534985,47.643232,31,55,83,0.808658,4.042259,0.172094,0.054294,0.000385,0.004627,0.000202,0.000151,2102.856869,873.641773,853.515985,358.728593,15042993.52,5156.961507,2040.691035,2043.367401,2041.191035,2053.132599,3.310761,-42.641822,12164635.92,3019.07054,4009.15913,3034.211295,23417.20703,4029.265218,998.7935,10392,28.766082,24.166614,24.079881,24.253347,50.130995,0.998377,309.119589,3516.604521,2708.184293,3517.104521,1388.315707,3.325217,-42.569863,12059609.66,3988.269891,3023.769701,22888.13477,3994.477604,989.360813,48.310782,36.399245,47.612363,25.186128,347.936371,0.619828,363.978638,3584.184128,2099.967827,3584.684128,1996.532173,3.325889,-42.635633,2208702.259,2467.644072,895.065169,5095.68457,731.583522,993.365427,39.712683,34.43795,44.439311,24.43659,12.497477,0.650712,344.87946,2807.018644,2606.814882,2807.518644,1489.685118,3.31827,-42.580904,774681.6032,2144.455175,361.248681,2339.600342,256.596059,981.395544,26.776509,26.619403,24.938634,28.300173,59.749384,0.93475,356.732245
coj1m003-fa19-20200803-0211-e91.fits,32,0,59065.185402,2459065.185402,2459065.186971,1.529435,49.692665,31,55,83,0.82077,3.971743,0.175717,0.054498,0.000415,0.004902,0.00022,0.000167,1977.757646,810.290858,798.152567,326.363586,13770344,5072.176078,2040.691035,2043.367401,2041.191035,2053.132599,3.31074,-42.641995,11302281.4,3019.07054,3914.898568,2886.99214,19813.28125,3743.629453,1032.339037,10508,28.704581,24.149963,23.985158,24.314768,80.360328,0.999791,375.475078,3516.604521,2708.184293,3517.104521,1388.315707,3.325205,-42.569773,11000622.52,3872.141103,2840.966335,21080.9668,3643.711657,1023.618283,51.232887,36.916327,48.704012,25.128643,348.409886,0.602568,365.880856,3584.184128,2099.967827,3584.684128,1996.532173,3.325885,-42.63561,2058050.645,2457.827841,837.345322,4840.918945,681.683524,1021.392028,45.346289,35.086257,45.69378,24.478733,12.257563,0.629231,348.213004,2807.018644,2606.814882,2807.518644,1489.685118,3.318251,-42.580913,711670.8366,2166.235387,328.528857,2250.340576,235.725144,1024.211009,25.843672,27.085226,25.955268,28.215184,53.630542,0.921205,368.75038
coj1m003-fa19-20200803-0212-e91.fits,33,0,59065.186052,2459065.186052,2459065.187621,1.524152,48.435057,31,55,83,0.865219,3.918388,0.177211,0.055725,0.000514,0.006046,0.000276,0.000215,1684.479611,648.069358,642.12208,258.839473,11084779.92,4957.784929,2040.691035,2043.367401,2041.191035,2053.132599,3.310767,-42.641762,9590764.66,3019.07054,3743.893855,2561.708486,17277.54492,3176.727583,1134.589294,10287,28.972548,24.462258,24.141193,24.783324,59.222843,0.996964,369.790756,3516.604521,2708.184293,3517.104521,1388.315707,3.325221,-42.569814,8831037.351,3654.532938,2416.461283,17069.31641,2925.084801,1160.448503,48.506189,36.622857,47.416366,25.829347,345.586057,0.616775,367.76224,3584.184128,2099.967827,3584.684128,1996.532173,3.325893,-42.635572,1668644.284,2484.945569,671.501342,4155.410645,552.701324,1154.348713,39.467058,34.153317,44.283625,24.02301,10.466778,0.659193,363.40348,2807.018644,2606.814882,2807.518644,1489.685118,3.318275,-42.580854,585098.2818,2247.012666,260.389401,2189.489258,193.800799,1143.022983,27.101764,26.286983,25.167007,27.406959,56.064885,0.949018,339.551233
coj1m003-fa19-20200803-0213-e91.fits,34,0,59065.186704,2459065.186704,2459065.188273,1.51892,48.096136,31,55,83,0.782611,4.123957,0.170234,0.05229,0.000633,0.009323,0.00038,0.000311,1235.862603,442.365571,448.214019,168.251034,8053688.446,4852.870311,2040.691035,2043.367401,2041.191035,2053.132599,3.310747,-42.641845,6302908.302,3019.07054,3403.812884,1851.719973,11658.21973,2087.698256,1353.36051,10287,29.164176,24.55314,24.357126,24.749154,53.205439,0.996807,384.910138,3516.604521,2708.184293,3517.104521,1388.315707,3.296271,-42.713509,6481917.27,3407.104367,1902.471005,12701.66992,2146.990997,1318.623654,48.393666,36.525566,47.376343,25.674788,346.500615,0.624546,381.623938,3584.184128,2099.967827,3584.684128,1996.532173,3.295624,-42.647742,1171570.436,2516.613231,465.534561,3403.572266,388.056662,1325.751608,39.123764,34.234881,44.31669,24.153072,11.014177,0.658176,370.725572,2807.018644,2606.814882,2807.518644,1489.685118,3.303232,-42.7027,400200.7404,2368.258418,168.98525,2031.997559,132.557598,1333.664915,27.267881,26.319447,24.809149,27.829744,57.46109,0.926309,364.990659
coj1m003-fa19-20200803-0214-e91.fits,35,0,59065.187367,2459065.187367,2459065.188936,1.513687,48.1137,31,55,83,0.871755,3.985551,0.173727,0.055483,0.000373,0.004064,0.000183,0.000135,2334.626634,980.761879,948.887118,412.461593,16841785.47,5291.087518,2040.691035,2043.367401,2041.191035,2053.132599,3.310761,-42.641781,14681912.77,3019.07054,4274.702112,3434.604888,26419.69141,4863.057215,922.251529,10535,28.77766,24.044917,23.888479,24.201356,58.36305,0.999163,353.09064,3516.604521,2708.184293,3517.104521,1388.315707,3.325216,-42.569758,13463666.27,4149.171933,3244.904401,26026.42383,4459.540142,962.046396,48.85813,36.755824,48.389299,25.122349,347.641941,0.598804,354.554394,3584.184128,2099.967827,3584.684128,1996.532173,3.32589,-42.635531,2492807.427,2499.024431,997.512228,5584.402344,825.687043,964.137993,40.155137,34.741301,45.361163,24.121439,11.447148,0.631631,352.164289,2807.018644,2606.814882,2807.518644,1489.685118,3.318269,-42.580827,885311.7744,2129.520201,415.732978,2516.854492,293.239844,939.488775,26.567739,26.588514,25.242065,27.934962,56.022638,0.92756,351.868273
coj1m003-fa19-20200803-0215-e91.fits,36,0,59065.188018,2459065.188018,2459065.189587,1.508572,48.069105,31,55,83,0.838141,3.945791,0.177797,0.054002,0.000333,0.003537,0.000164,0.000117,2517.393894,1115.632288,1084.314371,460.824099,18895480.37,5387.964178,2040.691035,2043.367401,2041.191035,2053.132599,3.310759,-42.641828,15837084.31,3019.07054,4379.993476,3615.778058,26952.66211,5245.682105,860.806174,10395,29.800886,24.283894,24.240969,24.326819,47.945585,0.998814,383.524095,3516.604521,2708.184293,3517.104521,1388.315707,3.325218,-42.569862,15074963.3,4300.042622,3505.770669,27775.84375,4993.246465,874.358382,48.224473,36.37386,47.527556,25.220164,347.90826,0.622389,372.961768,3584.184128,2099.967827,3584.684128,1996.532173,3.32589,-42.635639,2852411.683,2489.65286,1145.706587,5861.662109,944.797958,859.957531,39.343489,34.486463,44.411031,24.561896,12.541542,0.655561,381.718932,2807.018644,2606.814882,2807.518644,1489.685118,3.31827,-42.580903,968105.3904,2083.607465,464.62945,2535.76416,320.663389,865.776132,26.79387,26.61426,24.808524,28.419997,60.438684,0.930725,365.133027
coj1m003-fa19-20200803-0216-e91.fits,37,0,59065.188671,2459065.188671,2459065.190240,1.503478,47.919447,31,55,83,0.807298,4.152979,0.16402,0.056138,0.00056,0.007888,0.000317,0.000258,1442.70024,526.516942,516.846714,217.997499,9448912.818,4876.571951,2040.691035,2043.367401,2041.191035,2053.132599,3.310744,-42.642016,7628086.086,3019.07054,3529.518376,2161.225774,14146.57227,2526.633937,1237.583619,10379,29.145261,24.274999,24.13103,24.418967,54.376524,0.998639,364.081381,3516.604521,2708.184293,3517.104521,1388.315707,3.325207,-42.569886,7615233.035,3516.987292,2165.271695,14893.70801,2522.37665,1222.600889,48.587003,36.661281,47.944171,25.378392,347.855942,0.619478,372.665292,3584.184128,2099.967827,3584.684128,1996.532173,3.325884,-42.635702,1331432.054,2482.36391,536.356514,3625.680176,441.007269,1239.156862,39.486229,34.672859,44.816831,24.528886,12.324004,0.648324,368.574154,2807.018644,2606.814882,2807.518644,1489.685118,3.318256,-42.580991,502247.7286,2291.205752,219.206733,2136.686523,166.358395,1218.046448,26.39019,26.940929,25.353795,28.528063,57.935629,0.927593,327.840318
coj1m003-fa19-20200803-0217-e91.fits,38,0,59065.189329,2459065.189329,2459065.190898,1.4984,47.651157,31,55,83,0.82136,4.1106,0.167759,0.054866,0.000457,0.005889,0.000245,0.000192,1799.068445,698.041361,684.840195,286.44487,12246217.23,5007.420426,2040.691035,2043.367401,2041.191035,2053.132599,3.310767,-42.641865,10058557.22,3019.07054,3787.234953,2655.910536,17734.01367,3331.673468,1102.209567,10452,28.964688,24.390083,24.348005,24.432161,47.607705,0.998559,377.387554,3516.604521,2708.184293,3517.104521,1388.315707,3.32522,-42.569861,9849978.798,3758.475224,2620.737988,18450.26953,3262.586504,1096.444005,48.108372,36.327029,47.353406,25.300652,347.575592,0.624768,380.934609,3584.184128,2099.967827,3584.684128,1996.532173,3.325894,-42.63562,1759279.798,2462.559263,714.411151,4453.88623,582.722323,1109.985203,39.077814,34.300853,44.261052,24.340654,12.011705,0.656149,323.913758,2807.018644,2606.814882,2807.518644,1489.685118,3.318274,-42.580927,636958.6325,2209.960449,288.221734,2173.22168,210.978387,1091.364031,26.534308,26.63875,24.864364,28.413137,60.554143,0.934101,376.783507
coj1m003-fa19-20200803-0218-e91.fits,39,0,59065.189984,2459065.189984,2459065.191553,1.493391,47.909631,31,55,83,0.845494,3.86932,0.181461,0.054604,0.000352,0.003658,0.000176,0.000126,2403.792711,1057.827723,1033.190313,431.85812,17638795.38,5301.451825,2040.691035,2043.367401,2041.191035,2053.132599,3.310758,-42.641796,14913492.4,3019.07054,4289.530569,3476.718993,26995.71094,4939.762819,890.895058,10481,29.460962,24.311192,24.160743,24.461641,56.128663,0.998932,341.715705,3516.604521,2708.184293,3517.104521,1388.315707,3.325215,-42.569831,14016360.5,4189.403759,3345.669528,26807.48242,4642.60782,906.877138,48.48524,36.659029,47.859111,25.458946,346.871188,0.61165,354.045077,3584.184128,2099.967827,3584.684128,1996.532173,3.325887,-42.635606,2709147.331,2480.452291,1092.198927,5824.993652,897.344827,885.293265,39.595418,34.503123,44.724003,24.282242,11.447119,0.650434,356.181811,2807.018644,2606.814882,2807.518644,1489.685118,3.318268,-42.580873,913287.5515,2098.009541,435.311439,2453.699463,302.506198,896.961589,26.445748,26.699673,25.299486,28.099859,58.310688,0.945512,374.012689
