Label,Saturated,J.D.-2400000,JD_UTC,BJD_TDB,AIRMASS,EXPTIME,FWHM_Mean,Source_Radius,Sky_Rad(min),Sky_Rad(max),rel_flux_T1,rel_flux_T2,rel_flux_T3,rel_flux_T4,rel_flux_T5,rel_flux_T6,rel_flux_C7,rel_flux_C8,rel_flux_err_T1,rel_flux_err_T2,rel_flux_err_T3,rel_flux_err_T4,rel_flux_err_T5,rel_flux_err_T6,rel_flux_err_C7,rel_flux_err_C8,rel_flux_SNR_T1,rel_flux_SNR_T2,rel_flux_SNR_T3,rel_flux_SNR_T4,rel_flux_SNR_T5,rel_flux_SNR_T6,rel_flux_SNR_C7,rel_flux_SNR_C8,tot_C_cnts,tot_C_err,X(IJ)_T1,Y(IJ)_T1,X(FITS)_T1,Y(FITS)_T1,RA_T1,DEC_T1,Source-Sky_T1,N_Src_Pixels_T1,Source_Error_T1,Source_SNR_T1,Peak_T1,Mean_T1,Sky/Pixel_T1,N_Sky_Pixels_T1,FWHM_T1,Width_T1,X-Width_T1,Y-Width_T1,Angle_T1,Roundness_T1,X(IJ)_T2,Y(IJ)_T2,X(FITS)_T2,Y(FITS)_T2,RA_T2,DEC_T2,Source-Sky_T2,Source_Error_T2,Source_SNR_T2,Peak_T2,Mean_T2,Sky/Pixel_T2,FWHM_T2,Width_T2,X-Width_T2,Y-Width_T2,Angle_T2,Roundness_T2,X(IJ)_T3,Y(IJ)_T3,X(FITS)_T3,Y(FITS)_T3,RA_T3,DEC_T3,Source-Sky_T3,Source_Error_T3,Source_SNR_T3,Peak_T3,Mean_T3,Sky/Pixel_T3,FWHM_T3,Width_T3,X-Width_T3,Y-Width_T3,Angle_T3,Roundness_T3,X(IJ)_T4,Y(IJ)_T4,X(FITS)_T4,Y(FITS)_T4,RA_T4,DEC_T4,Source-Sky_T4,Source_Error_T4,Source_SNR_T4,Peak_T4,Mean_T4,Sky/Pixel_T4,FWHM_T4,Width_T4,X-Width_T4,Y-Width_T4,Angle_T4,Roundness_T4,X(IJ)_T5,Y(IJ)_T5,X(FITS)_T5,Y(FITS)_T5,RA_T5,DEC_T5,Source-Sky_T5,Source_Error_T5,Source_SNR_T5,Peak_T5,Mean_T5,Sky/Pixel_T5,FWHM_T5,Width_T5,X-Width_T5,Y-Width_T5,Angle_T5,Roundness_T5,X(IJ)_T6,Y(IJ)_T6,X(FITS)_T6,Y(FITS)_T6,RA_T6,DEC_T6,Source-Sky_T6,Source_Error_T6,Source_SNR_T6,Peak_T6,Mean_T6,Sky/Pixel_T6,FWHM_T6,Width_T6,X-Width_T6,Y-Width_T6,Angle_T6,Roundness_T6,X(IJ)_C7,Y(IJ)_C7,X(FITS)_C7,Y(FITS)_C7,RA_C7,DEC_C7,Source-Sky_C7,Source_Error_C7,Source_SNR_C7,Peak_C7,Mean_C7,Sky/Pixel_C7,FWHM_C7,Width_C7,X-Width_C7,Y-Width_C7,Angle_C7,Roundness_C7,X(IJ)_C8,Y(IJ)_C8,X(FITS)_C8,Y(FITS)_C8,RA_C8,DEC_C8,Source-Sky_C8,Source_Error_C8,Source_SNR_C8,Peak_C8,Mean_C8,Sky/Pixel_C8,FWHM_C8,Width_C8,X-Width_C8,Y-Width_C8,Angle_C8,Roundness_C8
elp1m008-fa05-20201220-0167-e91.fits,0,59204.85562,2459204.856,2459204.859265,1.487697,89.979,13.654776,23,37,56,0.1746,0.110335,0.158257,0.150656,0.995181,0.036295,4.392106,0.227681,0.000505,0.000462,0.000494,0.000489,0.001159,0.000414,0.012207,0.000633,345.88456,238.982881,320.599682,308.349073,858.952622,87.71112,359.812729,359.812729,2277704.189,1978.219331,2320.004527,2059.588404,2320.504527,2036.911596,10.107893,74.827193,397686.4319,1661.902514,1096.66037,362.634087,2668.490479,239.295884,359.23091,4629,14.002621,17.291327,18.1425,16.440154,348.876955,0.98874,2180.724041,1945.699642,2181.224041,2150.800358,10.111673,74.839816,251311.1517,1028.685246,244.303253,1884.307983,151.218949,358.543472,13.829032,17.511369,18.162872,16.859866,348.250815,0.993435,2209.899111,1774.632574,2210.399111,2321.867426,10.110777,74.858272,360463.6763,1079.876521,333.800827,2451.10376,216.898208,360.235954,13.918634,17.568014,18.373567,16.762461,350.074538,0.990534,2021.663523,2289.445471,2022.163523,1807.054529,10.116232,74.802926,343150.6637,1072.214611,320.03916,2350.036133,206.480621,360.101933,13.336805,17.837113,18.684654,16.989571,352.703447,0.9904,2253.116937,2399.059897,2253.616937,1697.440103,10.10992,74.790591,2266728.211,1757.356215,1289.851307,13806.50781,1363.935725,366.499453,13.688196,17.463596,18.400779,16.526413,348.662692,0.986547,2135.989014,2286.591156,2136.489014,1809.908844,10.113084,74.803008,82668.70862,939.772406,87.966733,802.179626,49.743416,358.00187,12.191306,21.157844,19.068613,23.247074,83.434537,0.959666,1768.837975,1476.967316,1769.337975,2619.532684,10.122828,74.891343,1855289.622,1635.14955,1134.629931,10611.29785,1116.364893,363.794867,14.117374,17.788686,18.492932,17.084439,354.433568,0.993508,3084.118589,1591.033618,3084.618589,2505.466382,10.086499,74.876025,422414.5668,1113.390169,379.394914,2811.114502,254.175298,361.750431,14.154239,17.698651,18.398504,16.998798,339.886874,0.989304
elp1m008-fa05-20201220-0168-e91.fits,0,59204.85696,2459204.857,2459204.860611,1.48513,89.979,14.776964,23,37,56,0.175596,0.110652,0.157236,0.150335,1.000127,0.035266,4.3568,0.229526,0.000504,0.000459,0.000491,0.000485,0.001157,0.000411,0.011957,0.00063,348.67046,241.076327,320.445804,309.98293,864.107467,85.85211,364.372487,364.372487,2285953.068,1974.427625,2320.092014,2060.097089,2320.592014,2036.402911,10.107889,74.827169,401404.7145,1661.902514,1097.797819,365.645393,3002.373535,241.533249,355.236721,4623,13.147717,16.972451,17.789579,16.155323,350.834269,0.989758,2180.750868,1946.02612,2181.250868,2150.47388,10.111671,74.839812,252945.3154,1026.235597,246.478797,1988.724609,152.202258,355.063164,12.744877,17.185157,17.977891,16.392423,351.245333,0.990681,2209.871694,1774.929267,2210.371694,2321.570733,10.110776,74.858271,359433.9457,1077.849848,333.473114,2629.007568,216.278598,357.775823,13.313553,17.168614,17.926685,16.410542,350.846828,0.991382,2021.724472,2289.817511,2022.224472,1806.682489,10.116229,74.802916,343659.4059,1068.164966,321.728775,2558.641846,206.786742,356.233413,13.047386,17.329784,18.18192,16.477649,350.689258,0.989282,2253.239243,2399.536451,2253.739243,1696.963549,10.109915,74.79057,2286244.065,1760.917481,1298.325498,15383.85547,1375.678805,361.806284,13.459623,17.180962,18.156738,16.205186,351.067879,0.985849,2136.068231,2287.140344,2136.568231,1809.359656,10.11308,74.802979,80615.98093,936.424734,86.08912,880.39386,48.508249,354.064999,11.943563,21.047178,19.004895,23.089461,82.118519,0.960092,1768.677574,1477.085676,1769.177574,2619.414324,10.122832,74.891361,1859214.505,1633.176629,1138.403815,11710.76367,1118.726574,359.995481,13.337505,17.404036,18.098497,16.709575,353.313137,0.993293,3084.260822,1591.414197,3084.760822,2505.085803,10.086494,74.876017,426738.5627,1109.548802,384.605492,3010.658936,256.777133,355.933087,13.566715,17.381006,18.112443,16.649569,341.019362,0.988645
elp1m008-fa05-20201220-0169-e91.fits,0,59204.8583,2459204.858,2459204.861953,1.482587,89.98,14.858657,23,37,56,0.175769,0.110681,0.159274,0.151375,1.00098,0.037055,4.383708,0.228117,0.00045,0.000406,0.00044,0.000434,0.001065,0.00036,0.010811,0.000563,390.788113,272.512901,361.595721,348.706552,940.306758,103.031129,405.477313,405.477313,2553542.909,2015.186194,2319.926625,2059.676712,2320.426625,2036.823288,10.107887,74.827163,448833.701,1661.902514,1092.551655,410.812339,3443.273438,270.07222,333.48944,4839,13.147843,16.940429,17.764536,16.116323,349.24858,0.989116,2180.656379,1945.691706,2181.156379,2150.808294,10.111666,74.839793,282627.8717,1012.849785,279.042239,2175.917236,170.062846,333.036861,13.324631,16.913787,17.668442,16.159131,350.793507,0.99119,2209.73345,1774.609194,2210.23345,2321.890806,10.110773,74.85825,406713.3049,1078.005442,377.283165,2939.421387,244.727535,334.17866,13.417067,17.206422,17.937793,16.47505,351.183884,0.992072,2021.59016,2289.431051,2022.09016,1807.068949,10.116225,74.802906,386541.8194,1065.702439,362.710833,2982.991211,232.589948,333.523683,12.514266,17.039932,17.889455,16.190409,354.792194,0.989773,2253.036972,2399.155939,2253.536972,1697.344061,10.109913,74.790562,2556044.912,1822.160779,1402.754873,17480.53125,1538.023374,340.372631,12.793597,16.954032,17.957826,15.950238,352.334732,0.98503,2135.849207,2286.816082,2136.349207,1809.683918,10.113078,74.802963,94622.75661,915.349114,103.373407,909.200867,56.936406,331.440275,11.591988,21.351034,18.736847,23.96522,80.350372,0.934656,1768.396825,1476.733606,1768.896825,2619.766394,10.122832,74.891337,2079233.584,1685.365797,1233.698695,13423.03711,1251.116457,338.663089,13.793326,17.214656,17.912074,16.517238,354.950106,0.993249,3083.985283,1591.000394,3084.485283,2505.499606,10.086497,74.876011,474309.3242,1104.770351,429.328434,3390.212646,285.401412,334.139563,13.509577,17.189227,17.861401,16.517053,340.903816,0.990128
elp1m008-fa05-20201220-0170-e91.fits,0,59204.85965,2459204.86,2459204.863303,1.480081,89.988,15.109395,23,37,56,0.176191,0.110816,0.159795,0.151322,1.003751,0.036099,4.360897,0.229311,0.000449,0.000406,0.000438,0.000433,0.001065,0.000358,0.010719,0.000564,392.213345,272.895833,364.56834,349.678852,942.641955,100.78834,406.827822,406.827822,2558488.534,2015.501252,2319.54715,2059.48499,2320.04715,2037.01501,10.107889,74.82717,450782.5779,1661.902514,1093.093865,412.391463,3023.167236,271.244898,332.223896,4645,12.959914,17.374232,18.154158,16.594307,346.130832,0.989752,2180.383688,1945.478983,2180.883688,2151.021017,10.111666,74.839804,283522.1967,1014.647434,279.429275,1970.737793,170.60098,331.033638,13.683998,17.467056,18.264265,16.669847,353.297253,0.991231,2209.540799,1774.435161,2210.040799,2322.064839,10.110771,74.858258,408833.5423,1074.1748,380.602433,2706.356445,246.003324,332.232781,13.294084,17.790854,18.475733,17.105974,349.723784,0.993259,2021.244113,2289.196874,2021.744113,1807.303126,10.116228,74.802917,387156.6579,1064.341789,363.752191,2617.220459,232.959909,331.941072,13.729828,17.714455,18.466453,16.962456,351.727199,0.992184,2252.729505,2398.906145,2253.229505,1697.593855,10.109914,74.790573,2568086.603,1824.637416,1407.450369,15600.2041,1545.269101,339.087458,12.964317,17.538879,18.392804,16.684955,352.795134,0.98994,2135.608908,2286.415845,2136.108908,1810.084155,10.113078,74.802992,92360.01415,913.482972,101.107538,837.826477,55.574869,330.548384,11.725262,21.093014,18.296349,23.889678,85.675672,0.93052,1768.246564,1476.588134,1768.746564,2619.911866,10.122829,74.891347,2081238.47,1683.793939,1236.041074,11787.31152,1252.322836,337.057572,14.129084,17.740358,18.339876,17.140839,355.536982,0.99533,3083.675264,1590.838734,3084.175264,2505.661266,10.086496,74.876014,477250.0639,1107.737906,430.833017,3028.358643,287.170914,332.215242,13.530019,17.634925,18.227613,17.042237,338.427148,0.991532
elp1m008-fa05-20201220-0171-e91.fits,0,59204.861,2459204.861,2459204.864647,1.477623,89.987,15.023737,23,37,56,0.176288,0.111919,0.158174,0.15018,1.004821,0.036365,4.373336,0.228658,0.000404,0.00036,0.000391,0.000386,0.000983,0.000312,0.009665,0.000505,436.415834,310.535409,404.176802,389.296296,1022.062293,116.506076,452.492688,452.492688,2851236.431,2058.945216,2319.801412,2060.112264,2320.301412,2036.387736,10.10789,74.827172,502638.8545,1661.902514,1093.053732,459.848258,3388.20752,302.447857,305.782937,4758,12.763599,17.168622,17.919637,16.417606,350.309643,0.991432,2180.37486,1946.150001,2180.87486,2150.349999,10.111675,74.8398,319108.3136,1001.436592,318.650543,2296.592773,192.013858,305.060593,13.705296,17.383953,17.929359,16.838547,344.106025,0.994561,2209.567581,1775.062409,2210.067581,2321.437591,10.110779,74.858257,450990.811,1067.241785,422.576044,3056.564697,271.370196,307.30403,13.165176,17.357146,18.029822,16.68447,351.834816,0.993496,2021.424829,2289.947242,2021.924829,1806.552758,10.116229,74.802905,428197.8321,1055.570613,405.655317,2927.673584,257.655205,306.926333,13.234176,17.402633,18.153244,16.652023,354.055964,0.992258,2252.796977,2399.496138,2253.296977,1697.003862,10.109919,74.790582,2864981.174,1891.389539,1514.749403,18283.07227,1723.916506,314.254985,12.921302,17.213452,18.023412,16.403492,350.895726,0.990229,2135.760707,2287.250052,2136.260707,1809.249948,10.113081,74.802972,103686.5439,886.811576,116.920603,880.525635,62.390268,304.175272,11.659132,21.253202,18.662557,23.843847,82.238045,0.937842,1768.273223,1477.197581,1768.773223,2619.302419,10.122837,74.891342,2320609.545,1738.418251,1334.897136,13611.86133,1396.357202,311.648094,14.045836,17.53059,18.10284,16.958341,356.658706,0.995688,3083.992978,1591.591745,3084.492978,2504.908255,10.086498,74.876007,530626.8869,1103.248562,480.967667,3543.030762,319.288817,306.077782,13.585981,17.414253,18.007032,16.821474,341.383205,0.992705
elp1m008-fa05-20201220-0172-e91.fits,0,59204.86236,2459204.862,2459204.866010,1.475165,90.031,14.849297,23,37,56,0.175421,0.111625,0.158473,0.151482,1.000775,0.036478,4.345815,0.230106,0.000403,0.000359,0.000391,0.000386,0.000977,0.000312,0.009545,0.000505,435.743006,310.690793,405.538376,391.956119,1023.898145,116.802816,455.305449,455.305449,2866796.622,2065.366546,2319.732536,2059.888289,2320.232536,2036.611711,10.107884,74.827162,502896.53,1661.902514,1095.768412,458.944175,3329.725342,302.602906,308.897513,4787,13.151361,17.281112,18.102436,16.459788,354.339295,0.990645,2180.487615,1945.970608,2180.987615,2150.529392,10.111664,74.839789,320006.0552,1003.848653,318.779185,2250.396484,192.554047,307.429868,13.455024,17.436109,18.049077,16.823141,352.970236,0.994759,2209.608103,1774.844147,2210.108103,2321.655853,10.110769,74.858254,454309.6968,1071.382816,424.040492,3040.050537,273.367236,310.29163,13.345796,17.553679,18.161522,16.945836,351.35967,0.994752,2021.262894,2289.528286,2021.762894,1806.971714,10.116228,74.802916,434266.8892,1062.856363,408.584738,3078.983398,261.307078,309.489108,13.33005,17.53976,18.303213,16.776307,353.242649,0.992014,2252.740951,2399.143013,2253.240951,1697.356987,10.109914,74.790581,2869018.42,1891.865741,1516.502126,18221.63867,1726.345797,317.629683,12.67198,17.281235,18.144262,16.418208,354.046251,0.989632,2135.774101,2286.709074,2136.274101,1809.790926,10.113074,74.802994,104574.0076,892.128278,117.218577,896.516235,62.924273,306.457337,11.453185,21.595882,19.367343,23.824421,84.873175,0.956933,1768.39395,1477.013368,1768.89395,2619.486632,10.122826,74.891345,2330527.273,1743.388856,1336.779953,14316.92481,1402.324898,315.036831,13.541995,17.484626,18.061101,16.908151,354.406714,0.995492,3083.829943,1591.178091,3084.329943,2505.321909,10.086489,74.876017,536269.3485,1107.399777,484.259939,3652.0896,322.683999,308.137334,12.821246,17.522692,18.237412,16.807971,342.308165,0.990022
elp1m008-fa05-20201220-0173-e91.fits,0,59204.86371,2459204.864,2459204.867354,1.472777,90.032,15.256227,23,37,56,0.176371,0.111583,0.158684,0.150467,1.006631,0.036398,4.351674,0.229797,0.000406,0.000364,0.000395,0.00039,0.00099,0.000316,0.009675,0.000511,434.012324,306.8802,401.751815,385.779802,1017.290843,115.29965,449.785896,449.785896,2838630.719,2063.079657,2319.452558,2059.584274,2319.952558,2036.915726,10.107893,74.827162,500651.021,1661.902514,1094.649709,457.361855,3380.611328,301.251738,311.203246,4749,13.504288,17.438218,18.18345,16.692986,352.789195,0.99224,2180.146158,1945.512278,2180.646158,2150.987722,10.111674,74.839803,316743.6578,1006.14153,314.810241,2172.541748,190.590997,309.960057,13.864524,17.494258,18.212166,16.776351,359.10627,0.99328,2209.310303,1774.453693,2209.810303,2322.046307,10.110779,74.858259,450445.3788,1072.3433,420.057065,2856.089844,271.041999,312.809188,13.504283,17.785945,18.530626,17.041265,357.786116,0.992971,2021.07756,2289.259348,2021.57756,1807.240652,10.116233,74.802911,427119.7519,1062.750361,401.900359,2809.057617,257.006502,312.982051,13.417,17.661783,18.410645,16.912922,354.11277,0.992523,2252.533449,2398.901335,2253.033449,1697.598665,10.10992,74.790576,2857453.771,1891.271302,1510.864024,17396.83789,1719.387116,320.462338,13.355129,17.520353,18.361279,16.679426,353.486973,0.990336,2135.329957,2286.5502,2135.829957,1809.9498,10.113086,74.802979,103321.8767,892.964263,115.70662,846.227295,62.170841,309.065311,12.089087,21.17575,18.633238,23.718262,80.275285,0.936975,1768.028395,1476.623396,1768.528395,2619.876604,10.122837,74.891342,2308211.495,1739.361508,1327.045289,13517.50098,1388.897048,317.431419,13.906778,17.802738,18.392656,17.212819,358.176485,0.9956,3083.617379,1590.933725,3084.117379,2505.566275,10.0865,74.876015,530419.224,1109.467987,478.084298,3581.010742,319.163862,312.154356,13.559429,17.622971,18.23392,17.012022,340.262324,0.991951
elp1m008-fa05-20201220-0174-e91.fits,0,59204.86505,2459204.865,2459204.868695,1.470425,89.98,14.98916,23,37,56,0.17607,0.111403,0.159031,0.150557,1.002145,0.036242,4.353567,0.229697,0.000406,0.000362,0.000394,0.000389,0.000984,0.000314,0.009641,0.000509,434.156048,307.876444,403.205832,387.008784,1018.669546,115.523718,451.579223,451.579223,2845333.494,2061.966698,2319.424195,2059.693745,2319.924195,2036.806255,10.107888,74.827159,500977.1858,1661.902514,1095.309984,457.383931,3893.538818,301.447998,309.672029,4784,13.223861,16.785914,17.642142,15.929687,352.478302,0.988899,2180.127077,1945.692485,2180.627077,2150.807515,10.111669,74.839792,316979.8225,1003.615526,315.837902,2469.86377,190.733103,308.935356,13.237321,17.028542,17.762393,16.294692,359.610536,0.992597,2209.185774,1774.556414,2209.685774,2321.943586,10.110777,74.858257,452497.431,1073.2723,421.605431,3378.427734,272.276759,311.586029,13.394517,17.078071,17.873929,16.282213,354.156959,0.990981,2021.04084,2289.459681,2021.54084,1807.040319,10.116228,74.802898,428383.9244,1062.485375,403.19042,3273.180176,257.76718,310.33107,12.914518,17.019407,17.741476,16.297338,359.362246,0.992822,2252.485391,2399.070164,2252.985391,1697.429836,10.109916,74.790567,2851437.875,1888.234817,1510.107668,20239.3418,1715.767232,318.756144,12.904704,16.906686,17.801717,16.011655,355.409436,0.988561,2135.260711,2286.736474,2135.760711,1809.763526,10.113083,74.802968,103121.4212,889.509203,115.930696,916.151428,62.050223,307.195793,12.177618,20.95725,18.53079,23.383711,82.448101,0.943985,1768.008733,1476.71733,1768.508733,2619.78267,10.122833,74.89134,2313849.812,1739.589271,1330.112717,15219.00195,1392.289736,316.461928,13.788197,17.26773,17.899122,16.636339,2.395246,0.994629,3083.509109,1591.097291,3084.009109,2505.402709,10.086497,74.876007,531483.682,1107.039218,480.094719,3948.762451,319.804367,309.86816,13.016316,17.041494,17.655835,16.427152,342.993942,0.992454
elp1m008-fa05-20201220-0175-e91.fits,0,59204.86639,2459204.866,2459204.870041,1.468105,89.983,14.892964,23,37,56,0.176199,0.111496,0.158917,0.151013,1.001564,0.036364,4.351309,0.229816,0.000406,0.000363,0.000396,0.00039,0.000985,0.000316,0.00967,0.000511,433.585487,306.761189,401.24346,387.059034,1016.53188,115.137007,449.989798,449.989798,2842665.142,2064.223295,2319.413108,2060.017657,2319.913108,2036.482343,10.107888,74.827168,500874.9508,1661.902514,1096.441061,456.818856,3589.25708,301.386481,313.040962,4711,13.031434,16.940122,17.647474,16.23277,351.463303,0.992394,2179.987009,1945.924356,2180.487009,2150.575644,10.111672,74.83981,316947.081,1007.244328,314.667526,2427.161621,190.713401,310.960821,13.284872,17.019597,17.774339,16.264854,352.802916,0.991649,2209.082611,1774.709954,2209.582611,2321.790046,10.110779,74.858282,451747.5838,1077.019416,419.442377,3220.876221,271.825561,313.525398,13.624941,17.211216,17.952224,16.470208,355.40068,0.992419,2020.946161,2289.817431,2021.446161,1806.682569,10.11623,74.802904,429280.7273,1064.374494,403.317375,3050.497803,258.306804,313.421671,13.456789,17.12065,17.929711,16.311588,357.446711,0.991036,2252.525692,2399.506436,2253.025692,1696.993564,10.109914,74.790565,2847112.089,1889.49035,1506.814835,19266.25977,1713.16432,321.556197,12.946511,17.090085,17.963214,16.216955,355.685855,0.989374,2135.508193,2287.06539,2136.008193,1809.43461,10.113075,74.802976,103371.8754,894.672768,115.541547,945.072693,62.200926,311.114004,11.157446,21.249368,18.356984,24.141752,85.233076,0.926546,1767.945598,1476.915208,1768.445598,2619.584792,10.122833,74.891359,2311455.79,1739.927265,1328.478401,15120.21875,1390.849205,318.717822,13.60158,17.276344,17.868873,16.683815,358.262482,0.995289,3083.612907,1591.41192,3084.112907,2505.08808,10.086495,74.876014,531209.3517,1110.707398,478.262189,3766.147949,319.639297,312.375348,13.050984,17.32036,17.980984,16.659736,345.225043,0.992333
elp1m008-fa05-20201220-0176-e91.fits,0,59204.86774,2459204.868,2459204.871386,1.465829,89.995,14.785879,23,37,56,0.174832,0.111245,0.158089,0.151072,1.001187,0.035945,4.367269,0.228976,0.000406,0.000362,0.000393,0.000389,0.000983,0.000315,0.009699,0.000509,430.371505,307.597558,401.890162,388.689752,1018.840575,113.973903,450.291587,450.291587,2848810.152,2063.267323,2318.888251,2059.522125,2319.388251,2036.977875,10.107891,74.827171,498063.9499,1661.902514,1099.633303,452.9364,3713.77417,299.695046,313.907232,4726,12.985632,16.59619,17.416617,15.775763,353.111555,0.989688,2179.558412,1945.456068,2180.058412,2151.043932,10.111672,74.83981,316915.1043,1004.398999,315.527101,2398.17749,190.69416,310.077491,12.883342,16.935813,17.591061,16.280565,350.967488,0.993395,2208.689289,1774.349865,2209.189289,2322.150135,10.110778,74.85827,450366.2623,1072.098945,420.079009,3168.778076,270.994393,312.208771,12.968616,17.109568,17.866465,16.352671,356.787354,0.992104,2020.459701,2289.263944,2020.959701,1807.236056,10.116231,74.802912,430376.0812,1062.469059,405.071637,3227.595947,258.965901,311.838604,13.2037,17.118264,17.956258,16.280269,357.426301,0.990383,2252.021331,2399.003677,2252.521331,1697.496323,10.109916,74.790568,2852190.851,1889.37167,1509.597554,19527.71094,1716.220312,320.921938,13.105192,16.952925,17.806699,16.099151,354.474754,0.989521,2134.923841,2286.497992,2135.423841,1810.002008,10.113079,74.802986,102401.6359,895.39939,114.364201,925.06958,61.617114,310.065887,11.379421,20.675559,18.210459,23.14066,83.234404,0.94152,1767.532729,1476.570029,1768.032729,2619.929971,10.122833,74.891345,2318035.485,1739.633606,1332.484884,15352.43652,1394.808339,316.971334,13.47657,17.190098,17.809232,16.570964,359.620364,0.994824,3083.244059,1591.099411,3083.744059,2505.400589,10.086493,74.875999,530774.6669,1109.390356,478.438148,3824.752197,319.377739,311.526018,13.391594,17.156477,17.848969,16.463986,344.744605,0.991249
