Label,Saturated,J.D.-2400000,JD_UTC,BJD_TDB,AIRMASS,FWHM_Mean,Source_Radius,Sky_Rad(min),Sky_Rad(max),rel_flux_T1,rel_flux_C2,rel_flux_C3,rel_flux_C4,rel_flux_C5,rel_flux_err_T1,rel_flux_err_C2,rel_flux_err_C3,rel_flux_err_C4,rel_flux_err_C5,rel_flux_SNR_T1,rel_flux_SNR_C2,rel_flux_SNR_C3,rel_flux_SNR_C4,rel_flux_SNR_C5,tot_C_cnts,tot_C_err,X(IJ)_T1,Y(IJ)_T1,X(FITS)_T1,Y(FITS)_T1,Source-Sky_T1,N_Src_Pixels_T1,Source_Error_T1,Source_SNR_T1,Peak_T1,Mean_T1,Sky/Pixel_T1,N_Sky_Pixels_T1,FWHM_T1,Width_T1,X-Width_T1,Y-Width_T1,Angle_T1,Roundness_T1,Variance_T1,X(IJ)_C2,Y(IJ)_C2,X(FITS)_C2,Y(FITS)_C2,Source-Sky_C2,Source_Error_C2,Source_SNR_C2,Peak_C2,Mean_C2,Sky/Pixel_C2,FWHM_C2,Width_C2,X-Width_C2,Y-Width_C2,Angle_C2,Roundness_C2,Variance_C2,X(IJ)_C3,Y(IJ)_C3,X(FITS)_C3,Y(FITS)_C3,Source-Sky_C3,Source_Error_C3,Source_SNR_C3,Peak_C3,Mean_C3,Sky/Pixel_C3,FWHM_C3,Width_C3,X-Width_C3,Y-Width_C3,Angle_C3,Roundness_C3,Variance_C3,X(IJ)_C4,Y(IJ)_C4,X(FITS)_C4,Y(FITS)_C4,Source-Sky_C4,Source_Error_C4,Source_SNR_C4,Peak_C4,Mean_C4,Sky/Pixel_C4,FWHM_C4,Width_C4,X-Width_C4,Y-Width_C4,Angle_C4,Roundness_C4,Variance_C4,X(IJ)_C5,Y(IJ)_C5,X(FITS)_C5,Y(FITS)_C5,Source-Sky_C5,Source_Error_C5,Source_SNR_C5,Peak_C5,Mean_C5,Sky/Pixel_C5,FWHM_C5,Width_C5,X-Width_C5,Y-Width_C5,Angle_C5,Roundness_C5,Variance_C5,RA_T1,DEC_T1
cpt1m012-fa06-20200223-0057-e91.fits,0,58903.26502,2458903.265,2458903.268481,1.609198,21.309773,29,43,63,0.086421,1.414498,0.16802,0.132803,0.18075,0.000098,0.000818,0.00014,0.000124,0.000146,882.739996,1728.942686,1197.431736,1070.909812,1237.971764,15337994.31,4290.443814,1882.917266,1869.517986,1883.417266,1816.982014,1325531.641,2642.079422,1455.112213,910.948056,3113.108154,501.70015,193.400069,5672,23.051334,25.263116,23.878935,26.647297,305.742192,0.881639,278.745539,2523.951166,2072.238286,2524.451166,1614.261714,8985538.752,3132.505452,2868.483037,20705.13672,3400.934385,209.112356,18.582646,26.264251,26.388632,26.139871,315.682466,0.841904,270.367473,3137.590566,2203.732486,3138.090566,1482.767514,2206378.415,1720.177587,1282.645718,5552.247559,835.091632,194.828537,21.252017,23.419114,24.420853,22.417376,328.099256,0.962588,253.1286,946.021516,1639.403286,946.521516,2047.096714,1798129.423,1593.549759,1128.379841,3971.042725,680.57357,192.044851,21.709192,27.291141,23.706614,30.875667,294.104173,0.849851,286.379401,1044.642166,1053.158486,1045.142166,2633.341514,2347947.72,1759.802818,1334.210683,5045.731445,888.674163,193.306378,21.953675,27.288482,23.712404,30.86456,292.957184,0.862836,298.462981,10.447298,-52.489456
cpt1m012-fa06-20200223-0058-e91.fits,0,58903.26552,2458903.266,2458903.268977,1.605398,24.987954,29,43,63,0.086574,1.411406,0.167403,0.133826,0.181011,0.000097,0.000809,0.000139,0.000123,0.000145,896.942545,1743.562646,1207.79998,1086.966234,1251.538332,15314807.75,4255.48238,1882.917266,1869.517986,1883.417266,1816.982014,1325867.335,2642.079422,1431.561471,926.168636,3176.806152,501.827206,175.373269,5822,19.749621,25.642872,24.600337,26.685407,308.316022,0.876723,264.757158,2523.951166,2072.238286,2524.451166,1614.261714,8963821.954,3117.8298,2875.019654,21529.0918,3392.714799,191.068372,18.507881,26.893487,27.441063,26.34591,317.773233,0.822636,248.863952,3137.590566,2203.732486,3138.090566,1482.767514,2196110.115,1696.85587,1294.22313,5408.755371,831.205185,175.981937,21.3581,23.90568,25.074271,22.737089,328.315528,0.952654,259.264822,946.021516,1639.403286,946.521516,2047.096714,1807612.134,1576.618177,1146.512301,3886.034912,684.162678,174.569374,21.735059,27.259696,24.122519,30.396873,296.80911,0.853337,297.980692,1044.642166,1053.158486,1045.142166,2633.341514,2347263.548,1738.74176,1349.978244,5067.291016,888.415212,175.898049,22.279335,27.623763,24.288275,30.959252,295.377207,0.858447,290.729556,10.447348,-52.489577
cpt1m012-fa06-20200223-0059-e91.fits,0,58903.26601,2458903.266,2458903.269471,1.601628,26.706048,29,43,63,0.086756,1.419429,0.167991,0.131843,0.180647,0.000095,0.000807,0.000137,0.00012,0.000143,915.663144,1758.843926,1224.085934,1094.548857,1262.934032,15345685.07,4229.214355,1882.917266,1869.517986,1883.417266,1816.982014,1331322.851,2642.079422,1406.887218,946.289677,2960.363281,503.892063,158.815459,5608,23.773533,25.303151,24.156683,26.449619,306.845393,0.896296,296.910404,2523.951166,2072.238286,2524.451166,1614.261714,9002997.6,3113.278646,2891.805914,19793.75781,3407.54238,174.839953,20.162161,26.687084,27.12287,26.251297,317.330493,0.838556,286.713458,3137.590566,2203.732486,3138.090566,1482.767514,2207154.657,1681.123198,1312.904765,5271.684082,835.385431,160.200011,18.833681,23.857469,25.09374,22.621198,330.505163,0.95975,267.779204,946.021516,1639.403286,946.521516,2047.096714,1787542.485,1548.513089,1154.360592,3703.273193,676.566522,157.665965,22.519107,27.11642,24.177651,30.055189,296.573071,0.872413,310.626514,1044.642166,1053.158486,1045.142166,2633.341514,2347990.328,1723.276571,1362.515088,4685.337891,888.69029,159.864604,23.253806,27.472746,24.091572,30.853921,293.453739,0.874031,330.338165,10.447298,-52.489889
cpt1m012-fa06-20200223-0060-e91.fits,0,58903.26651,2458903.267,2458903.269971,1.597823,27.344424,29,43,63,0.086682,1.400418,0.168878,0.1334,0.182616,0.000094,0.000791,0.000137,0.00012,0.000143,924.924088,1770.174887,1234.369448,1108.101026,1276.983051,15287709.71,4198.657667,1882.917266,1869.517986,1883.417266,1816.982014,1325176.889,2642.079422,1385.744483,956.29238,2928.310059,501.56588,145.461908,5715,23.213717,25.267218,23.905564,26.628873,304.839505,0.904236,289.074852,2523.951166,2072.238286,2524.451166,1614.261714,8918939.132,3091.614565,2884.880681,19838.66992,3375.727111,161.571958,19.630983,26.025448,26.180246,25.87065,315.946699,0.870376,273.018184,3137.590566,2203.732486,3138.090566,1482.767514,2208744.166,1666.828778,1325.11761,5050.58252,835.987044,146.656053,21.389399,23.499385,24.018507,22.980263,323.195311,0.97551,279.479587,946.021516,1639.403286,946.521516,2047.096714,1799347.175,1537.9011,1170.001878,3626.113037,681.034476,145.199126,22.923621,26.901798,24.080902,29.722694,296.177392,0.88465,320.353034,1044.642166,1053.158486,1045.142166,2633.341514,2360679.238,1710.902574,1379.785894,4771.040527,893.492913,146.546256,22.858353,27.02294,23.73637,30.30951,291.655555,0.891484,317.86016,10.447306,-52.489439
cpt1m012-fa06-20200223-0061-e91.fits,0,58903.26701,2458903.267,2458903.270467,1.594073,26.364056,29,43,63,0.085623,1.427781,0.164813,0.132661,0.181031,0.000092,0.000799,0.000133,0.000118,0.000141,934.130226,1787.15265,1238.995937,1122.397244,1288.315705,15468808.89,4201.164148,1882.917266,1869.517986,1883.417266,1816.982014,1324492.302,2642.079422,1371.499222,965.725887,2990.5896,501.306771,134.568094,5537,20.899871,26.213298,24.609841,27.816756,305.399977,0.862645,283.159966,2523.951166,2072.238286,2524.451166,1614.261714,9097226.703,3113.627694,2921.745178,20449.66211,3443.20713,150.810002,19.023905,27.142745,27.787638,26.497852,318.205115,0.819054,278.412772,3137.590566,2203.732486,3138.090566,1482.767514,2188728.137,1647.714436,1328.341908,5222.905273,828.411182,136.347431,20.472101,24.186409,25.331911,23.040907,326.947144,0.945557,268.076578,946.021516,1639.403286,946.521516,2047.096714,1811755.849,1528.42613,1185.373512,3901.150635,685.731032,135.327602,21.846541,27.856961,24.263894,31.450028,296.059864,0.82922,289.578921,1044.642166,1053.158486,1045.142166,2633.341514,2371098.206,1704.128365,1391.384742,4854.584473,897.436385,136.473803,22.233439,27.835842,24.364274,31.307411,295.148661,0.85217,320.006207,10.447344,-52.489104
cpt1m012-fa06-20200223-0062-e91.fits,0,58903.2675,2458903.268,2458903.270961,1.590399,26.301605,29,43,63,0.086846,1.412282,0.16778,0.133055,0.181253,0.000092,0.000788,0.000134,0.000118,0.00014,947.867451,1791.582485,1251.140066,1127.529363,1291.771173,15347591.69,4167.557086,1882.917266,1869.517986,1883.417266,1816.982014,1332882.239,2642.079422,1358.813217,980.916451,3067.57666,504.482276,125.018031,5577,23.361569,25.068582,23.395102,26.742063,303.112112,0.8913,275.21141,2523.951166,2072.238286,2524.451166,1614.261714,8985319.777,3088.86862,2908.935563,20863.24609,3400.851505,141.098141,18.813558,26.411084,26.290413,26.531755,314.343069,0.841183,260.72664,3137.590566,2203.732486,3138.090566,1482.767514,2205050.824,1641.053351,1343.680156,5333.990234,834.589152,126.023901,18.820352,23.721561,24.748,22.695121,327.521753,0.95836,260.609349,946.021516,1639.403286,946.521516,2047.096714,1802269.506,1512.606458,1191.49928,3859.414307,682.140548,125.290059,21.679714,27.246788,23.655011,30.838564,293.636923,0.854122,296.399368,1044.642166,1053.158486,1045.142166,2633.341514,2354951.58,1687.124274,1395.837649,5068.816406,891.325053,126.128063,22.468779,27.199358,23.667987,30.730729,292.210589,0.872164,289.49485,10.447353,-52.489337
cpt1m012-fa06-20200223-0063-e91.fits,0,58903.26798,2458903.268,2458903.271441,1.586773,26.718832,29,43,63,0.086926,1.410591,0.167063,0.13268,0.182802,0.000091,0.000782,0.000133,0.000117,0.00014,958.281942,1803.277335,1258.161158,1136.253271,1305.997124,15383088.97,4154.416066,1882.917266,1869.517986,1883.417266,1816.982014,1337196.924,2642.079422,1347.871413,992.080484,3148.391602,506.11534,115.822559,5641,23.04719,25.275336,23.559848,26.990824,303.149229,0.887006,260.713442,2523.951166,2072.238286,2524.451166,1614.261714,9001629.225,3085.600151,2917.302561,21888.26367,3407.024464,131.268885,18.251457,26.420434,26.625484,26.215383,316.136086,0.846737,238.513624,3137.590566,2203.732486,3138.090566,1482.767514,2202060.606,1629.62933,1351.264712,5311.607422,833.457385,116.612825,21.498649,23.669729,24.89191,22.447547,332.975215,0.969223,262.015511,946.021516,1639.403286,946.521516,2047.096714,1801943.807,1500.253091,1201.093214,3785.112305,682.017275,115.714917,22.267276,27.045147,24.225687,29.864606,297.470349,0.871069,301.380907,1044.642166,1053.158486,1045.142166,2633.341514,2377455.332,1682.793352,1412.802903,5047.810547,899.842493,117.027453,22.227983,26.983877,24.10364,29.864115,296.077271,0.881644,296.999074,10.447362,-52.490126
cpt1m012-fa06-20200223-0064-e91.fits,0,58903.26848,2458903.268,2458903.271938,1.583088,25.342257,29,43,63,0.086076,1.406057,0.168244,0.132789,0.182565,0.00009,0.000777,0.000133,0.000116,0.000139,961.165788,1809.729683,1267.281571,1142.94794,1310.089942,15354096.98,4136.329466,1882.917266,1869.517986,1883.417266,1816.982014,1321622.784,2642.079422,1328.125556,995.103797,3121.676758,500.220687,108.60683,5587,20.091875,25.946197,24.877553,27.014841,308.427921,0.869227,258.362451,2523.951166,2072.238286,2524.451166,1614.261714,8972661.648,3075.810794,2917.169569,21318.75391,3396.060533,124.099083,17.847028,27.025441,27.558053,26.492829,317.685833,0.822867,253.342508,3137.590566,2203.732486,3138.090566,1482.767514,2211207.924,1623.196111,1362.255558,5903.801758,836.919551,109.546225,18.783088,23.742701,24.97349,22.511912,329.165771,0.952529,219.714725,946.021516,1639.403286,946.521516,2047.096714,1799858.998,1489.043955,1208.734633,3810.712891,681.228196,108.05198,22.024724,27.819949,24.770308,30.869589,298.638078,0.839405,298.951111,1044.642166,1053.158486,1045.142166,2633.341514,2370368.41,1672.301377,1417.428965,5267.48291,897.160165,109.442907,21.24574,28.041799,24.556376,31.527221,295.752313,0.845321,270.644677,10.447346,-52.489143
cpt1m012-fa06-20200223-0065-e91.fits,0,58903.26898,2458903.269,2458903.272434,1.57942,25.595043,29,43,63,0.086496,1.41704,0.16568,0.132923,0.18241,0.000089,0.000779,0.000131,0.000115,0.000138,972.684199,1818.536972,1267.721457,1151.779415,1318.650941,15429554.42,4135.08597,1882.917266,1869.517986,1883.417266,1816.982014,1334597.452,2642.079422,1324.638678,1007.518107,3328.447266,505.131466,102.120085,5706,23.10805,24.99069,23.315943,26.665436,303.258357,0.887877,236.7336,2523.951166,2072.238286,2524.451166,1614.261714,9045897.3,3084.668328,2932.534827,22760.33594,3423.779477,117.52488,17.662607,26.145084,26.369586,25.920583,316.256383,0.846583,228.442322,3137.590566,2203.732486,3138.090566,1482.767514,2193029.84,1610.714602,1361.526019,5694.666992,830.039333,103.682816,18.799926,23.141977,23.702394,22.581561,322.257174,0.962698,231.60645,946.021516,1639.403286,946.521516,2047.096714,1810312.873,1485.696396,1218.49449,4242.204102,685.184881,101.881514,21.668623,27.078302,23.78643,30.370173,295.277558,0.857782,249.766167,1044.642166,1053.158486,1045.142166,2633.341514,2380314.41,1667.951432,1427.088562,5685.947266,900.924624,103.849269,21.393749,27.067769,23.564647,30.570891,292.605783,0.869417,240.223368,10.447376,-52.489585
cpt1m012-fa06-20200223-0066-e91.fits,0,58903.26947,2458903.269,2458903.272929,1.575799,25.572095,29,43,63,0.086731,1.406495,0.167231,0.133273,0.182971,0.000089,0.000772,0.000131,0.000115,0.000138,978.800571,1822.90919,1275.455282,1157.212927,1322.234791,15388516.54,4119.904051,1882.917266,1869.517986,1883.417266,1816.982014,1334668.579,2642.079422,1315.924408,1014.244109,3118.803711,505.158387,96.576732,5529,20.608307,24.838494,23.316535,26.360453,303.867007,0.896177,264.821648,2523.951166,2072.238286,2524.451166,1614.261714,8993940.137,3072.530525,2927.209368,21939.16992,3404.114223,113.087189,18.230915,26.298219,26.835506,25.760932,318.026089,0.84993,240.197491,3137.590566,2203.732486,3138.090566,1482.767514,2204736.994,1607.992608,1371.111399,5781.366699,834.47037,97.976284,18.48068,23.654546,25.024264,22.284828,336.079896,0.970428,224.638691,946.021516,1639.403286,946.521516,2047.096714,1809687.502,1477.452333,1224.870313,3929.941895,684.948184,97.086509,21.941696,26.969476,23.601349,30.337603,293.622611,0.868754,282.054871,1044.642166,1053.158486,1045.142166,2633.341514,2380151.912,1662.726658,1431.475162,5198.07959,900.86312,98.39164,23.003834,26.987054,23.445806,30.528303,291.329026,0.876924,279.911511,10.447348,-52.489826
