TIC ID,TOI,Priority,Dispo,P (days),dP,Epoch,Dur,RA (J2000),DEC (J2000),Tmag,Depth,R_E,dRe,R_s,dR_s,T_eff,logg,Met,M_s,D (pc),Sect,Rp/R*,a/R*,b,Insol,AB,T_eq,M_p,dM_p,LCO_rms,rms_err,Data,Notes,no_data
#70797900,224.01,5,SB2,31.579900,0.0000196,1176.364160,1.88,1.977400,-29.97900000,10.95,100000,14.000,2.000,0.487,0.074,3689,4.781,-1,0.522,64.77,2,0.2637,67.98,0.72,1.7,0.5,266,-,-,-,-,FALSE,Crossfield AC Target,TRUE
#43064903,1276.01,5,FA,6.264298,0.0025240,1712.548761,2.39,302.667462,40.66899800,12.54,9098,2.338,0.278,0.211,0.006,3145,,,,24.52,15,0.1015,40.35,0.00,2.5,0.3,320,,,,,FALSE,,TRUE
#420112587,1760.01,1,NPC,11.062666,0.0004900,1691.531496,2.08,290.173872,73.196346,12.50,4958,2.644,4.093,0.255,0.008,3212,4.893,0,,,"14,15,16,17,19",0.0953,52.06,0.00,1.6,0.3,288,,,,,FALSE,,TRUE
#387527558,1646.01,1,FA,3.623909,0.0027480,1794.1033560,2.66,312.326644,70.7963540,13.04,26980,6.935,0.469,0.414,0.012,3514,4.954,0,,,19,0.1536,17.88,0.00,19.8,0.3,537,,,,,FALSE,,TRUE
#409459226,973.01,3,NEB,1.279970,0.0004100,1491.828390,2.43,109.950318,-11.94268800,10.43,790,,,,,2889,,,,4153.03,7,,,0.00,,0.3,,,,,,FALSE,,TRUE
#101955023,667.01,5,KP,,,,,,,,,,,,,,,0,,,9,,,0.00,,,,,,-,-,FALSE,GJ 1132b,TRUE
#192826603,551.01,5,KP,2.647401,,1438.080870,1.07,82.714381,-36.63079700,13.86,21352,9.442,,0.570,,3916,4.719,0,,,5,0.1520,11.72,0.00,71.0,,,,,-,-,FALSE,NGTS-1b,TRUE
#33521996,468.01,5,KP,3.325285,,1469.311680,2.00,88.146797,-19.03165400,13.29,36142,10.983,,0.570,,3724,4.683,0,,,6,0.1768,13.65,0.00,42.8,,,,,-,-,FALSE,HATS-6,TRUE
#92226327.01,256.01,5,KP,24.736959,,1389.285282,1.96,11.247108,-15.27129400,11.24,4089,1.727,,0.232,,3182,5.028,0,,,3,0.0683,94.70,0.00,0.5,,,,,-,-,FALSE,LHS-1140b,TRUE
#92226327.02,256.02,5,KP,3.777931,,1389.293276,1.03,11.247108,-15.27129400,11.24,3335,1.282,,0.232,,3182,5.028,0,,,3,0.0507,27.06,0.00,5.8,,,,,-,-,FALSE,LHS-1140c,TRUE
#67646988,1779.01,5,KP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,
#,1796.01,5,KP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,
413248763,562.01,5,P,3.930623,0.0000900,1517.999665,1.53,144.006800,-21.66080000,8.74,1164,1.166,0.065,0.337,,3505,4.940,-0.12,0.342,9.44,8,0.0317,21.81,0.41,13.1,0.3,531,1.63,0.30,0.0021485,0.0004214,FALSE,"Gl 357b, second non-transiting planet in system, Luque et al 2019",TRUE
98796344,455.01,5,VP,5.358760,0.0001200,1412.708786,1.36,45.464200,-16.59340000,8.64,2498,1.350,0.001,0.271,,3340,4.974,0,0.260,6.90,4,0.0458,30.30,0.27,5.6,0.3,428,2.2,2.0,-,-,FALSE,"LTT 1445 Ab, Winters et al 2019",TRUE
200322593,540.01,3,VP,1.239133,0.0000180,1468.824507,0.54,76.310149,-47.93762900,11.48,2255,4.758,,0.179,,3042,4.438,0,,14.00,6,0.2444,15.32,0.00,15.1,0.3,503,,,-,-,FALSE,Ment et al (in prep),TRUE
120916706,263.01,5,P,0.556737,0.0000730,1386.172349,0.85,37.108272,-25.09733000,15.85,63679,5.225,,0.205,,3116,5.060,0,,273.00,3,0.2338,8.20,0.00,58.2,0.3,704,,,-,-,FALSE,Parviainen+ 2019,TRUE
234523599,127.01,5,P,3.795610,0.0001900,1325.650197,2.04,15.551099,-61.75600100,14.10,55371,23.751,,0.500,,3424,4.438,0,,140.00,1,0.4358,16.27,0.00,21.5,0.5,505,,,-,-,FALSE,"HATS-71b, Bakos 2019",TRUE
259377017.01,270.01,1,P,5.660456,0.0000680,1389.502678,1.67,68.415442,-51.95616900,10.42,3810,2.578,,0.415,,3551,4.840,0,,22.50,3,0.0570,24.04,0.00,11.4,0.3,468,,,-,-,FALSE,Guenther et al 2019 (masses - Van Eylen et al 2019),TRUE
259377017.02,270.02,1,P,11.380259,0.0002420,1389.678659,2.14,68.415442,-51.95616900,10.42,3206,2.363,,0.415,,3551,4.840,0,,22.50,3,0.0522,38.30,0.00,4.5,0.3,371,,,-,-,FALSE,Guenther et al 2019 (masses - Van Eylen et al 2019),TRUE
259377017.03,270.03,1,P,3.360160,0.0001210,1387.092173,1.37,68.415442,-51.95616900,10.42,1035,1.373,,0.415,,3551,4.840,0,,22.50,3,0.0303,16.98,0.00,22.9,0.3,557,,,-,-,FALSE,Guenther et al 2019 (masses - Van Eylen et al 2019),TRUE
36724087.01,732.01,4,P,0.768389,0.0000300,1543.911480,0.82,154.646400,-11.71670000,10.53,1253,1.134,,0.300,,3329,4.950,0,,30.80,9,0.0347,7.88,0.00,81.9,0.3,767,,,-,-,FALSE,"LTT-3780 Clouteier+ 2020, Palle+ 2020",TRUE
