Label,Saturated,J.D.-2400000,JD_UTC,BJD_TDB,AIRMASS,EXPTIME,FWHM_Mean,Source_Radius,Sky_Rad(min),Sky_Rad(max),rel_flux_T1,rel_flux_C2,rel_flux_C3,rel_flux_C4,rel_flux_err_T1,rel_flux_err_C2,rel_flux_err_C3,rel_flux_err_C4,rel_flux_SNR_T1,rel_flux_SNR_C2,rel_flux_SNR_C3,rel_flux_SNR_C4,tot_C_cnts,tot_C_err,X(IJ)_T1,Y(IJ)_T1,X(FITS)_T1,Y(FITS)_T1,RA_T1,DEC_T1,Source-Sky_T1,N_Src_Pixels_T1,Source_Error_T1,Source_SNR_T1,Peak_T1,Mean_T1,Sky/Pixel_T1,N_Sky_Pixels_T1,FWHM_T1,Width_T1,X-Width_T1,Y-Width_T1,Angle_T1,Roundness_T1,X(IJ)_C2,Y(IJ)_C2,X(FITS)_C2,Y(FITS)_C2,RA_C2,DEC_C2,Source-Sky_C2,Source_Error_C2,Source_SNR_C2,Peak_C2,Mean_C2,Sky/Pixel_C2,FWHM_C2,Width_C2,X-Width_C2,Y-Width_C2,Angle_C2,Roundness_C2,X(IJ)_C3,Y(IJ)_C3,X(FITS)_C3,Y(FITS)_C3,RA_C3,DEC_C3,Source-Sky_C3,Source_Error_C3,Source_SNR_C3,Peak_C3,Mean_C3,Sky/Pixel_C3,FWHM_C3,Width_C3,X-Width_C3,Y-Width_C3,Angle_C3,Roundness_C3,X(IJ)_C4,Y(IJ)_C4,X(FITS)_C4,Y(FITS)_C4,RA_C4,DEC_C4,Source-Sky_C4,Source_Error_C4,Source_SNR_C4,Peak_C4,Mean_C4,Sky/Pixel_C4,FWHM_C4,Width_C4,X-Width_C4,Y-Width_C4,Angle_C4,Roundness_C4
TOI_2094_30s.0112.fits,0,59367.79722,2459367.797,2459367.797801,1.254857,30,44.483177,27,37,54,0.206728,0.187481,0.116855,2.809373,0.000146,0.000153,0.00012,0.001907,1420.507639,1227.206215,973.075594,1473.553736,14712160.8,4128.404374,987.27768,126.998703,987.77768,129.501297,16.94292,70.028882,3041413.815,2290.221044,1963.62313,1548.878585,4015.035156,1328.000117,218.531901,4229,33.868815,27.201346,27.012279,27.390412,71.487242,0.999697,1296.219106,186.013668,1296.719106,70.486332,16.939069,70.024402,2322777.317,1758.425203,1320.94178,3023.519043,1014.215341,214.805863,33.868333,27.359964,27.303736,27.416191,296.078798,0.999955,83.895253,65.921883,84.395253,190.578117,16.954235,70.034737,1539317.813,1516.946184,1014.747807,2274.344482,672.126307,215.660056,33.114004,26.850442,27.196935,26.50395,11.886493,0.999205,1987.248436,117.959492,1987.748436,138.540508,16.930367,70.027118,10850065.67,3413.288408,3178.772014,14491.5459,4737.562645,226.64741,32.725907,27.000602,27.618829,26.382376,21.390292,0.996111
TOI_2094_30s.0113.fits,0,59367.7976,2459367.798,2459367.798181,1.254818,30,44.344221,27,37,54,0.20672,0.187555,0.117275,2.80375,0.000146,0.000154,0.000121,0.001913,1414.688709,1220.742323,968.272978,1465.990772,14605693.37,4119.157859,987.584724,126.361039,988.084724,130.138961,16.942916,70.028922,3019291.408,2290.221044,1957.019318,1542.801024,3836.982666,1318.34061,221.635053,4177,33.685313,27.251946,27.03687,27.467021,74.950348,0.999667,1296.605073,185.438417,1297.105073,71.061583,16.939064,70.024438,2306727.588,1755.616604,1313.913062,2933.175781,1007.207402,218.253675,33.901232,27.386936,27.317543,27.456329,297.91405,0.999919,84.183567,65.281735,84.683567,191.218265,16.954231,70.034778,1533086.75,1518.304968,1009.735714,2186.92041,669.405582,218.574492,32.803505,26.922852,27.234563,26.611141,10.013787,0.999393,1987.5807,117.304561,1988.0807,139.195439,16.930362,70.027159,10765879.03,3402.943113,3163.696445,14179.60449,4700.803468,229.515461,32.503656,27.067693,27.665546,26.469841,22.158571,0.996192
TOI_2094_30s.0114.fits,0,59367.79798,2459367.798,2459367.798560,1.254782,30,44.346899,27,37,54,0.206958,0.187436,0.116848,2.809928,0.000146,0.000154,0.000121,0.001919,1415.052172,1220.097659,965.344247,1464.36254,14656939.88,4131.660055,987.87041,127.019317,988.37041,129.480683,16.942913,70.028879,3033365.086,2290.221044,1965.716491,1543.134577,3886.166992,1324.485728,225.529275,4101,33.668019,27.229879,27.021903,27.437855,77.207419,0.999713,1296.886911,186.033649,1297.386911,70.466351,16.939061,70.024399,2313589.487,1762.117388,1312.95991,2995.996094,1010.203575,221.743104,33.89937,27.35173,27.307353,27.396107,305.207776,0.999906,84.597424,66.036245,85.097424,190.463755,16.954226,70.034729,1533449.112,1523.798754,1006.333092,2190.470703,669.563803,223.037141,32.843734,26.905626,27.238202,26.573049,8.634979,0.99933,1987.698761,117.836181,1988.198761,138.663819,16.930361,70.027125,10809901.28,3412.271161,3167.94908,14295.86816,4720.025305,233.496012,32.63225,27.002167,27.632976,26.371358,19.914768,0.996302
TOI_2094_30s.0115.fits,0,59367.79836,2459367.798,2459367.798939,1.25475,30,44.454322,27,37,54,0.207153,0.187587,0.117406,2.801895,0.000147,0.000154,0.000122,0.001921,1409.952724,1214.777347,962.395662,1458.856686,14609341.61,4132.117641,987.935245,127.174915,988.435245,129.325085,16.942912,70.028869,3026374.197,2290.221044,1968.371157,1537.501801,3937.023193,1321.433232,230.172067,4089,33.784233,27.179476,26.970596,27.388356,77.761618,0.999715,1296.91705,186.29961,1297.41705,70.20039,16.939061,70.024382,2307642.304,1765.647711,1306.966441,3003.325439,1007.606803,226.283643,33.69599,27.317029,27.287911,27.346147,309.014906,0.999894,84.63356,66.172147,85.13356,190.327853,16.954225,70.03472,1535005.163,1529.99448,1003.274968,2171.677002,670.243235,226.933675,33.179555,26.906704,27.247418,26.56599,7.966684,0.999307,1987.830978,118.142597,1988.330978,138.357403,16.93036,70.027105,10766694.15,3408.225528,3159.032187,14204.94727,4701.15938,237.620657,32.81061,26.995561,27.608693,26.38243,20.965594,0.996276
TOI_2094_30s.0116.fits,0,59367.79874,2459367.799,2459367.799319,1.254716,30,44.507161,27,37,54,0.207026,0.187321,0.117045,2.808821,0.000148,0.000155,0.000123,0.001937,1399.894196,1208.484611,954.505758,1449.957871,14476073.78,4114.369737,987.643032,127.178752,988.143032,129.321248,16.942916,70.02887,2996926.742,2290.221044,1964.075633,1525.871352,3906.826416,1308.575322,230.265932,4215,33.65302,27.245803,27.010672,27.480934,80.05042,0.999663,1296.598559,186.210678,1297.098559,70.289322,16.939065,70.024389,2283856.313,1756.652389,1300.118525,2948.929688,997.22091,226.864138,34.014958,27.381488,27.328724,27.434252,305.551044,0.999858,84.262917,66.186862,84.762917,190.313138,16.95423,70.03472,1516814.208,1524.866534,994.719324,2173.511475,662.300354,227.954927,33.091074,26.954704,27.271263,26.638146,5.199953,0.99943,1987.56211,118.060033,1988.06211,138.439967,16.930363,70.027111,10675403.26,3393.669514,3145.681457,13949.91895,4661.298213,238.015951,32.815269,27.040961,27.64979,26.432132,21.348303,0.99625
TOI_2094_30s.0117.fits,0,59367.79912,2459367.799,2459367.799699,1.254685,30,44.462917,27,37,54,0.20681,0.187349,0.117566,2.802485,0.000148,0.000155,0.000123,0.001935,1398.959804,1205.649153,956.468644,1448.594248,14392873.85,4099.940539,987.499396,127.161297,987.999396,129.338703,16.942917,70.028871,2976593.613,2290.221044,1951.470761,1525.307821,3936.337891,1299.697084,226.176265,4179,33.776407,27.156143,26.926997,27.385289,80.747389,0.999683,1296.466535,186.181605,1296.966535,70.318395,16.939066,70.024391,2271022.285,1750.924681,1297.041677,2966.296631,991.617071,222.536382,33.994486,27.304008,27.24635,27.361667,303.854804,0.999876,84.269904,66.104224,84.769904,190.395776,16.95423,70.034725,1514101.202,1518.372845,997.186697,2155.741943,661.115749,223.051117,32.885095,26.903661,27.233735,26.573587,5.247804,0.999377,1987.242253,118.101933,1987.742253,138.398067,16.930367,70.027109,10607750.36,3382.058411,3136.477574,14154.41113,4631.758312,234.187493,32.688518,27.029211,27.627824,26.430598,21.025526,0.996445
TOI_2094_30s.0118.fits,0,59367.79951,2459367.8,2459367.800083,1.254659,30,44.508791,27,37,54,0.206657,0.187508,0.117149,2.805685,0.000149,0.000157,0.000124,0.001956,1384.709839,1195.934867,943.883124,1434.220433,14137940.55,4065.345533,987.23142,126.925253,987.73142,129.574747,16.942921,70.028887,2921710.703,2290.221044,1935.508336,1509.531449,3772.381592,1275.733061,223.66697,4142,33.788516,27.269475,27.04527,27.493679,83.925141,0.999717,1296.251187,185.938024,1296.751187,70.561976,16.939069,70.024407,2232383.702,1734.669165,1286.921879,2875.845947,974.745956,220.167484,33.888793,27.433002,27.377054,27.488951,304.792537,0.999863,83.970538,65.831734,84.470538,190.668266,16.954234,70.034743,1482569.21,1507.148173,983.691741,2139.900391,647.34765,221.338574,33.080445,26.965656,27.269172,26.662139,5.849809,0.999472,1987.096026,117.632949,1987.596026,138.867051,16.930369,70.02714,10422987.64,3353.574448,3108.023335,13601.19629,4551.083688,231.454113,32.814492,27.070812,27.689719,26.451906,20.061852,0.996428
TOI_2094_30s.0119.fits,0,59367.79989,2459367.8,2459367.800462,1.254634,30,44.431542,27,37,54,0.207017,0.187444,0.11771,2.799841,0.000152,0.00016,0.000127,0.001984,1364.449771,1174.972732,930.033568,1411.102241,13774491.97,4020.667528,987.239803,126.508346,987.739803,129.991654,16.94292,70.028913,2851553.963,2290.221044,1916.990306,1487.51611,3740.066406,1245.099887,223.21063,4218,33.731579,27.288598,27.074744,27.502453,83.381114,0.999741,1296.234961,185.487513,1296.734961,71.012487,16.939069,70.024436,2174374.521,1720.656887,1263.688616,2751.571289,949.416881,219.399802,33.891609,27.447901,27.416177,27.479624,307.816932,0.999913,83.888144,65.52001,84.388144,190.97999,16.954234,70.034763,1450643.608,1496.645454,969.263364,2097.122803,633.407684,220.261935,32.777507,27.025953,27.357427,26.694479,3.123483,0.999391,1987.07011,117.29501,1987.57011,139.20499,16.930369,70.027161,10149473.85,3311.368242,3065.039315,13213.63379,4431.656879,230.745162,32.816682,27.118479,27.749824,26.487135,21.373555,0.995984
TOI_2094_30s.0120.fits,0,59367.80027,2459367.8,2459367.800842,1.254614,30,44.588136,27,37,54,0.206628,0.187361,0.117203,2.806564,0.000153,0.000162,0.000128,0.002014,1346.904007,1160.123678,917.843188,1393.688774,13530306.71,3991.663198,987.460278,126.668917,987.960278,129.831083,16.942918,70.028903,2795744.598,2290.221044,1904.777338,1467.754022,3701.22998,1220.731337,225.892711,4199,33.828613,27.241368,27.014451,27.468286,83.519627,0.999708,1296.445634,185.773526,1296.945634,70.726474,16.939066,70.024417,2135032.899,1711.849065,1247.208614,2734.08667,932.238792,222.139401,33.964753,27.375405,27.342798,27.408011,308.697409,0.999881,84.138659,65.620659,84.638659,190.879341,16.954231,70.034756,1419434.399,1484.257258,956.3264,2062.662354,619.780524,222.797258,33.140411,26.992961,27.30774,26.678183,6.608431,0.999426,1987.334009,117.561261,1987.834009,138.938739,16.930366,70.027144,9975839.409,3286.32443,3035.561346,13054.45117,4355.841299,232.752379,32.987224,27.07423,27.687693,26.460766,21.342259,0.996203
TOI_2094_30s.0121.fits,0,59367.80064,2459367.801,2459367.801221,1.254594,30,44.582948,27,37,54,0.206632,0.187364,0.117275,2.805708,0.000153,0.000161,0.000128,0.002007,1350.620658,1165.421843,918.736292,1398.161632,13650929.63,4012.423521,987.168895,126.491253,987.668895,130.008747,16.942921,70.028915,2820722.226,2290.221044,1916.841243,1471.547128,3797.634033,1231.637546,228.849398,4127,33.725283,27.202428,26.934691,27.470165,84.30831,0.999597,1296.194966,185.531996,1296.694966,70.968004,16.939069,70.024433,2154094.338,1718.98507,1253.119865,2781.15332,940.561761,225.179856,33.980795,27.357445,27.311703,27.403187,307.140788,0.999848,83.910635,65.539974,84.410635,190.960026,16.954234,70.034762,1432867.397,1497.258617,956.993923,2106.289307,625.645896,226.23642,32.992766,26.979922,27.274749,26.685096,5.206138,0.999506,1987.072883,117.279579,1987.572883,139.220421,16.930369,70.027162,10063967.89,3301.946317,3047.889616,13096.25977,4394.321638,235.481461,33.044814,27.068207,27.648809,26.487605,22.677082,0.996277
