Label,Saturated,J.D.-2400000,JD_UTC,DATE-OBS,JD-OBS,BJD-OBS,TIME-OBS,JD,DATE,FWHM_Mean,Source_Radius,FWHM_Mult,Source_Rad(base),Sky_Rad(min),Sky_Rad(max),rel_flux_T1,rel_flux_C2,rel_flux_C3,rel_flux_err_T1,rel_flux_err_C2,rel_flux_err_C3,rel_flux_SNR_T1,rel_flux_SNR_C2,rel_flux_SNR_C3,tot_C_cnts,tot_C_err,X(IJ)_T1,Y(IJ)_T1,X(FITS)_T1,Y(FITS)_T1,RA_T1,DEC_T1,Source-Sky_T1,N_Src_Pixels_T1,Source_Error_T1,Source_SNR_T1,Peak_T1,Mean_T1,Sky/Pixel_T1,N_Sky_Pixels_T1,FWHM_T1,Width_T1,X-Width_T1,Y-Width_T1,Angle_T1,Roundness_T1,X(IJ)_C2,Y(IJ)_C2,X(FITS)_C2,Y(FITS)_C2,RA_C2,DEC_C2,Source-Sky_C2,Source_Error_C2,Source_SNR_C2,Peak_C2,Mean_C2,Sky/Pixel_C2,FWHM_C2,Width_C2,X-Width_C2,Y-Width_C2,Angle_C2,Roundness_C2,X(IJ)_C3,Y(IJ)_C3,X(FITS)_C3,Y(FITS)_C3,RA_C3,DEC_C3,Source-Sky_C3,Source_Error_C3,Source_SNR_C3,Peak_C3,Mean_C3,Sky/Pixel_C3,FWHM_C3,Width_C3,X-Width_C3,Y-Width_C3,Angle_C3,Roundness_C3
cpt1m010-fl16-20180923-0240-e91.fits,0,58385.53412,2458385.53412,2018,NaN,2458385.540411,NaN,NaN,2018,19.795481,21.137324,1.4,15,30,45,0.432898,6.705512,0.149131,0.001306,0.055534,0.001235,331.548946,120.746214,120.746214,2213356.828,3510.589865,2059.495581,2045.008107,2059.995581,2051.491893,0.749927,-15.274729,958157.6753,1403.621033,2458.089054,389.797788,8700.185547,682.632743,3086.557188,3108,12.861863,15.000913,14.924677,15.077149,58.015601,0.999464,2179.25564,1694.180896,2179.75564,2402.319104,0.750847,-15.312567,1926113.496,2610.875874,737.72695,14538.11816,1372.246106,3082.533387,13.408723,15.149645,14.884212,15.415077,72.429205,0.998165,2233.466433,2681.496959,2233.966433,1415.003041,0.751184,-15.205692,287243.332,2346.820907,122.396784,5001.665527,204.644505,3123.012853,12.059855,14.847601,14.893163,14.802039,3.00545,0.999962
cpt1m010-fl16-20180923-0241-e91.fits,0,58385.53509,2458385.53509,2018,NaN,2458385.541381,NaN,NaN,2018,20.226485,21.284869,1.4,15,30,45,0.436305,6.677936,0.149747,0.001529,0.06509,0.00146,285.36217,102.594675,102.594675,2026519.093,3748.956509,2059.069517,2045.395675,2059.569517,2051.104325,0.749927,-15.274727,884180.0508,1423.284886,2631.522355,335.995645,8788.783203,621.224928,3605.971381,3042,13.695357,15.147347,15.044046,15.250648,54.852306,0.998364,2178.86241,1694.67462,2179.36241,2401.82538,0.750847,-15.312553,1762578.485,2758.024579,639.072798,13391.43848,1238.387692,3606.161042,14.372777,15.242749,14.938528,15.546971,68.641536,0.997051,2233.068855,2681.880259,2233.568855,1414.619741,0.751183,-15.205691,263940.6082,2539.286381,103.942828,5378.397949,185.444679,3616.713839,12.81584,14.903568,14.994321,14.812815,18.509165,0.999767
cpt1m010-fl16-20180923-0242-e91.fits,0,58385.53608,2458385.53608,2018,NaN,2458385.542371,NaN,NaN,2018,20.019679,21.041984,1.4,15,30,45,0.433442,6.71074,0.149015,0.001218,0.051685,0.001148,355.829889,129.83845,129.83845,2277282.818,3374.895476,2059.115972,2045.598132,2059.615972,2050.901868,0.749927,-15.27474,987070.7559,1390.98759,2356.948257,418.791865,8907.12207,709.618665,2832.026562,3096,13.547671,14.962389,14.829674,15.095104,54.127629,0.996793,2178.921028,1694.856775,2179.421028,2401.643225,0.750847,-15.312568,1981943.727,2521.30403,786.078832,14337.82324,1424.846449,2827.815182,13.884039,15.121458,14.835725,15.407191,63.719157,0.996138,2233.253302,2682.391719,2233.753302,1414.108281,0.751184,-15.20567,295339.0904,2243.422711,131.646653,4810.579102,212.323311,2859.363407,12.400843,14.753286,14.918901,14.587671,22.304624,0.999006
cpt1m010-fl16-20180923-0243-e91.fits,0,58385.53706,2458385.53706,2018,NaN,2458385.543351,NaN,NaN,2018,20.552946,21.509915,1.4,15,30,45,0.431463,6.637639,0.150656,0.001865,0.080071,0.001817,231.329384,82.896464,82.896464,1799631.23,4090.241983,2059.351266,2045.552395,2059.851266,2050.947605,0.749928,-15.274731,776474.6268,1453.540893,2855.192083,271.9518,8897.057617,534.19524,4315.753427,3023,13.765,15.211083,15.067518,15.354648,57.628696,0.998043,2179.118787,1694.849972,2179.618787,2401.650028,0.750847,-15.312554,1564004.583,2975.168915,525.685979,13160.74707,1075.996273,4301.348586,14.360992,15.333118,15.016729,15.649508,69.287883,0.996973,2233.452167,2682.162215,2233.952167,1414.337785,0.751185,-15.205681,235626.647,2806.857568,83.946777,5756.609375,162.105276,4350.969186,13.513166,15.279768,15.471016,15.088519,26.867249,0.99821
cpt1m010-fl16-20180923-0244-e91.fits,0,58385.53803,2458385.53803,2018,NaN,2458385.544321,NaN,NaN,2018,20.039309,21.087778,1.4,15,30,45,0.436538,6.656709,0.150224,0.001327,0.055668,0.001256,329.083224,119.579479,119.579479,2203167.565,3547.412238,2059.806771,2045.538731,2060.306771,2050.961269,0.749926,-15.274738,961765.427,1397.048622,2478.560097,388.033935,9257.509766,688.426596,3166.366853,3001,13.191016,14.816139,14.636418,14.99586,58.681907,0.997215,2179.605362,1694.740985,2180.105362,2401.759015,0.750846,-15.312569,1915424.171,2636.426024,726.52301,15030.58887,1371.050471,3167.952689,14.009176,15.005168,14.698573,15.311763,65.299916,0.99606,2233.945038,2682.267052,2234.445038,1414.232948,0.751184,-15.205678,287743.3944,2373.476651,121.232873,5043.589355,205.965197,3183.937923,12.36479,14.799627,14.718781,14.880473,58.591481,0.999428
cpt1m010-fl16-20180923-0245-e91.fits,0,58385.53902,2458385.53902,2018,NaN,2458385.545311,NaN,NaN,2018,19.511528,20.769145,1.4,15,30,45,0.437154,6.60067,0.1515,0.001403,0.058264,0.001337,311.63857,113.289295,113.289295,2112510.488,3601.091161,2060.030301,2045.17788,2060.530301,2051.32212,0.749927,-15.274724,923493.2475,1355.149153,2510.62082,367.834617,9342.623047,681.469819,3463.553421,3086,12.750938,14.787098,14.759431,14.814764,46.944346,0.996956,2179.775493,1694.370613,2180.275493,2402.129387,0.750847,-15.312559,1834573.08,2666.872759,687.91174,14774.93652,1353.779454,3469.406654,12.880936,14.905384,14.645776,15.164992,61.4204,0.995877,2233.989147,2681.674221,2234.489147,1414.825779,0.751183,-15.205685,277937.4082,2419.844465,114.857551,5341.266602,205.097282,3495.799907,12.8634,14.642104,14.758654,14.525554,32.126216,0.998657
cpt1m010-fl16-20180923-0246-e91.fits,0,58385.53999,2458385.53999,2018,NaN,2458385.546281,NaN,NaN,2018,20.47514,21.59566,1.4,15,30,45,0.433436,6.75591,0.148019,0.00141,0.061455,0.001346,307.436408,109.932619,109.932619,2155134.046,3700.107069,2060.009413,2045.693606,2060.509413,2050.806394,0.749927,-15.274732,934111.8776,1465.15249,2580.65431,361.967069,8232.236328,637.552667,3319.301852,3046,14.583035,15.365319,15.30892,15.421718,50.000672,0.998213,2179.767194,1694.904903,2180.267194,2401.595097,0.750847,-15.312565,1877264.124,2732.288221,687.066653,12915.51367,1281.275592,3317.239238,14.654728,15.503328,15.299627,15.70703,62.644825,0.997932,2234.050777,2682.26179,2234.550777,1414.23821,0.751184,-15.205685,277869.9219,2495.073827,111.367415,4903.419434,189.652561,3343.302706,12.676128,15.295017,15.442367,15.147666,6.587362,0.999608
cpt1m010-fl16-20180923-0247-e91.fits,0,58385.54097,2458385.54097,2018,NaN,2458385.547261,NaN,NaN,2018,20.512957,21.52113,1.4,15,30,45,0.431654,6.814362,0.146749,0.001726,0.076659,0.001651,250.14345,88.89183,88.89183,1945375.117,4056.970973,2059.220645,2045.182974,2059.720645,2051.317026,0.749927,-15.274722,839728.3733,1455.056995,2864.024982,293.19869,9127.129883,577.110296,4225.921694,3108,13.487914,15.169766,14.944405,15.395126,65.137094,0.997888,2178.966914,1694.393549,2179.466914,2402.106451,0.750847,-15.312554,1696426.42,2967.387779,571.690169,13336.17676,1165.883141,4224.865947,14.104018,15.334821,15.016018,15.653623,69.485144,0.996965,2233.411833,2681.792508,2233.911833,1414.707492,0.751185,-15.205672,248948.6971,2766.518253,89.986284,5806.232422,171.092059,4247.002002,13.471799,14.9427,14.817443,15.067958,72.519536,0.999582
cpt1m010-fl16-20180923-0248-e91.fits,0,58385.54194,2458385.54194,2018,NaN,2458385.548231,NaN,NaN,2018,21.612869,21.770106,1.4,15,30,45,0.433006,6.77603,0.147579,0.001703,0.075521,0.001645,254.318112,89.724284,89.724284,1971095.459,4084.635854,2059.991777,2045.662316,2060.491777,2050.837684,0.749928,-15.274713,853496.1113,1488.918612,2852.131803,299.248482,8600.369141,573.232213,4126.756615,3003,14.712591,15.41664,15.278111,15.555169,59.993528,0.998707,2179.748598,1694.89022,2180.248598,2401.60978,0.750847,-15.312543,1717611.935,2982.71809,575.854601,12561.31934,1153.596927,4131.172448,14.878047,15.549087,15.295349,15.802826,64.730176,0.997364,2234.075323,2682.286632,2234.575323,1414.213368,0.751185,-15.20566,253483.5235,2790.634848,90.833641,5474.01709,170.246729,4142.204367,14.735011,15.427016,15.5618,15.292232,17.237171,0.999551
cpt1m010-fl16-20180923-0249-e91.fits,0,58385.54293,2458385.54293,2018,NaN,2458385.549221,NaN,NaN,2018,20.97392,21.708348,1.4,15,30,45,0.431572,6.718276,0.148848,0.001333,0.057233,0.001268,323.753512,117.383773,117.383773,2235653.768,3626.791631,2059.173881,2044.937056,2059.673881,2051.562944,0.749927,-15.274721,964845.5508,1480.482977,2536.057413,380.450989,8332.734375,651.709993,3100.801498,3009,14.042821,15.338312,15.186159,15.490465,71.641347,0.999388,2178.966368,1694.146211,2179.466368,2402.353789,0.750847,-15.312553,1945996.625,2687.86041,723.994675,13194.27539,1314.433638,3098.44909,13.949521,15.451961,15.105516,15.798406,77.368191,0.997544,2233.180953,2681.548223,2233.680953,1414.951777,0.751184,-15.205671,289657.1432,2434.958717,118.957722,4787.549316,195.650438,3109.190922,13.316548,15.270611,15.312205,15.229017,354.865956,0.999969
