Label,Saturated,J.D.-2400000,JD_UTC,BJD_TDB,AIRMASS,EXPTIME,FWHM_Mean,Source_Radius,Sky_Rad(min),Sky_Rad(max),rel_flux_T1,rel_flux_C2,rel_flux_C3,rel_flux_C4,rel_flux_err_T1,rel_flux_err_C2,rel_flux_err_C3,rel_flux_err_C4,rel_flux_SNR_T1,rel_flux_SNR_C2,rel_flux_SNR_C3,rel_flux_SNR_C4,tot_C_cnts,tot_C_err,X(IJ)_T1,Y(IJ)_T1,X(FITS)_T1,Y(FITS)_T1,RA_T1,DEC_T1,Source-Sky_T1,N_Src_Pixels_T1,Source_Error_T1,Source_SNR_T1,Peak_T1,Mean_T1,Sky/Pixel_T1,N_Sky_Pixels_T1,FWHM_T1,Width_T1,X-Width_T1,Y-Width_T1,Angle_T1,Roundness_T1,X(IJ)_C2,Y(IJ)_C2,X(FITS)_C2,Y(FITS)_C2,RA_C2,DEC_C2,Source-Sky_C2,Source_Error_C2,Source_SNR_C2,Peak_C2,Mean_C2,Sky/Pixel_C2,FWHM_C2,Width_C2,X-Width_C2,Y-Width_C2,Angle_C2,Roundness_C2,X(IJ)_C3,Y(IJ)_C3,X(FITS)_C3,Y(FITS)_C3,RA_C3,DEC_C3,Source-Sky_C3,Source_Error_C3,Source_SNR_C3,Peak_C3,Mean_C3,Sky/Pixel_C3,FWHM_C3,Width_C3,X-Width_C3,Y-Width_C3,Angle_C3,Roundness_C3,X(IJ)_C4,Y(IJ)_C4,X(FITS)_C4,Y(FITS)_C4,RA_C4,DEC_C4,Source-Sky_C4,Source_Error_C4,Source_SNR_C4,Peak_C4,Mean_C4,Sky/Pixel_C4,FWHM_C4,Width_C4,X-Width_C4,Y-Width_C4,Angle_C4,Roundness_C4
TOI_2094_30s.0214.fits,0,59367.836,2459367.836,2459367.836575,1.264197,30,44.427967,27,37,54,0.206882,0.187122,0.116923,2.812288,0.000157,0.000165,0.000131,0.002063,1321.137512,1136.150891,893.2645,1363.112561,13227940.27,3969.93712,989.196307,125.213874,989.696307,131.286126,16.942895,70.028992,2736623.627,2290.221044,1901.633668,1439.090858,3455.491211,1194.916811,237.848822,4222,34.055248,27.099304,26.832034,27.366574,286.338859,0.999451,1298.346948,184.264876,1298.846948,72.235124,16.939042,70.024509,2085077.157,1708.314959,1220.546098,2711.94165,910.426163,234.387484,34.108365,27.224893,27.27478,27.175005,326.724363,0.999915,85.937915,64.231219,86.437915,192.268781,16.954208,70.034841,1384739.443,1489.290271,929.79822,2052.846436,604.631351,234.583286,32.668758,26.860738,27.147159,26.574317,2.391629,0.999542,1988.797791,115.858431,1989.297791,140.641569,16.930347,70.027249,9758123.675,3259.459346,2993.785974,13042.30469,4260.778102,245.051461,32.488148,26.852947,27.477255,26.228638,20.143468,0.996288
TOI_2094_30s.0215.fits,0,59367.83638,2459367.836,2459367.836954,1.26442,30,44.347762,27,37,54,0.206836,0.187381,0.117266,2.805626,0.000157,0.000166,0.000132,0.00207,1314.084603,1129.966958,887.862845,1355.537106,13144117.45,3964.843897,988.947018,125.718255,989.447018,130.781745,16.942899,70.02896,2718681.628,2290.221044,1899.404576,1431.33362,3514.20752,1187.082633,241.239891,4189,34.102063,27.073523,26.821065,27.325982,282.737236,0.999573,1298.13657,184.760753,1298.63657,71.739247,16.939045,70.024478,2074281.541,1708.912296,1213.802222,2706.572021,905.712375,237.116832,33.91696,27.159834,27.223947,27.095721,330.135831,0.999912,85.73988,64.66594,86.23988,191.83406,16.954211,70.034814,1379582.775,1492.932676,924.075678,2036.598389,602.379748,237.37897,32.646619,26.86051,27.167242,26.553777,7.934865,0.999436,1988.654042,116.269354,1989.154042,140.230646,16.930349,70.027223,9690253.135,3251.2702,2980.451497,13225.05371,4231.143172,248.482569,32.29744,26.795948,27.425694,26.166201,20.621665,0.996097
TOI_2094_30s.0216.fits,0,59367.83676,2459367.837,2459367.837333,1.264649,30,44.306106,27,37,54,0.206403,0.187137,0.116694,2.8148,0.000158,0.000166,0.000132,0.002087,1306.71275,1124.747153,882.12969,1348.959999,13110143.88,3965.905392,988.646396,125.532558,989.146396,130.967442,16.942902,70.028973,2705975.122,2290.221044,1902.171352,1422.571694,3518.758057,1181.534476,245.346262,4112,34.141982,27.103404,26.845576,27.361233,283.639948,0.999542,1297.898433,184.563981,1298.398433,71.936019,16.939047,70.024491,2066647.369,1711.105375,1207.784979,2681.529785,902.378997,241.359735,34.043827,27.227527,27.283642,27.171411,329.914287,0.999931,85.488541,64.448963,85.988541,192.051037,16.954214,70.034828,1370005.434,1492.706797,917.799421,2062.20874,598.197906,242.299488,32.517284,26.864738,27.152971,26.576505,3.932442,0.999531,1988.445448,116.17879,1988.945448,140.32121,16.930351,70.027229,9673491.074,3251.515092,2975.071867,13258.56934,4223.824201,251.995536,32.173569,26.828929,27.465891,26.191966,20.439912,0.99606
TOI_2094_30s.0217.fits,0,59367.83714,2459367.837,2459367.837713,1.264861,30,44.370327,27,37,54,0.2072,0.187284,0.117709,2.801499,0.000157,0.000165,0.000132,0.002058,1321.392218,1133.289503,892.949451,1361.069044,13273736.5,3986.598289,988.788243,125.371095,989.288243,131.128905,16.9429,70.028983,2750322.135,2290.221044,1910.454215,1439.616879,3520.985596,1200.898115,245.078071,4299,34.182751,27.13648,26.851687,27.421273,282.161491,0.99947,1297.966864,184.381897,1298.466864,72.118103,16.939047,70.024502,2093821.674,1720.420945,1217.040329,2723.934814,914.24436,241.701599,33.837479,27.204969,27.243253,27.166685,325.009655,0.999932,85.53527,64.255303,86.03527,192.244697,16.954213,70.034841,1397889.084,1503.943227,929.482615,2118.996826,610.372997,241.720632,32.802276,26.871767,27.167399,26.576134,1.982963,0.999514,1988.484775,116.036141,1988.984775,140.463859,16.930351,70.027238,9782025.748,3266.691363,2994.475039,13213.12988,4271.214681,253.241587,32.352697,26.843979,27.439876,26.248083,21.550001,0.996306
TOI_2094_30s.0218.fits,0,59367.83752,2459367.838,2459367.838093,1.265111,30,44.304622,27,37,54,0.206484,0.186921,0.116484,2.819491,0.000154,0.000162,0.000129,0.002037,1340.350605,1154.062308,905.756159,1383.861777,13646956.12,4031.539501,988.951904,125.536883,989.451904,130.963117,16.942898,70.028972,2817873.327,2290.221044,1930.50964,1459.652554,3639.388184,1230.393605,245.047161,4203,33.877782,27.160093,26.881153,27.439033,282.834824,0.999481,1298.144703,184.65043,1298.644703,71.84957,16.939044,70.024485,2149177.827,1733.543547,1239.759931,2772.211914,938.41502,241.665456,33.992106,27.272999,27.310599,27.235399,323.497311,0.999911,85.806688,64.608254,86.306688,191.891746,16.95421,70.034817,1423800.206,1510.443174,942.637387,2131.195557,621.686806,242.373787,32.636763,26.914807,27.207444,26.622169,359.936883,0.999527,1988.701685,116.237194,1989.201685,140.262806,16.930348,70.027225,10073978.09,3311.600661,3042.026838,13501.28906,4398.692481,252.228231,32.341508,26.889534,27.518721,26.260347,20.19947,0.996228
TOI_2094_30s.0219.fits,0,59367.8379,2459367.838,2459367.838475,1.265356,30,44.306811,27,37,54,0.206777,0.18728,0.117396,2.805165,0.000154,0.000162,0.000129,0.002021,1343.837371,1155.908574,911.331364,1387.911249,13675492.34,4036.173581,988.878043,125.426622,989.378043,131.073378,16.942899,70.028979,2827770.65,2290.221044,1931.666928,1463.901777,3707.114746,1234.715163,247.101566,4243,34.022358,27.16836,26.867785,27.468936,280.433919,0.999439,1298.140898,184.490161,1298.640898,72.009839,16.939044,70.024495,2157153.001,1736.990907,1241.890785,2790.58252,941.897293,243.199845,33.826594,27.284922,27.335498,27.234347,327.373581,0.999922,85.636606,64.325287,86.136606,192.174713,16.954212,70.034836,1436776.332,1514.14982,948.899714,2122.046631,627.352689,243.556658,32.650753,26.920406,27.184095,26.656717,1.740842,0.999615,1988.690805,116.081324,1989.190805,140.418676,16.930348,70.027235,10081563,3313.745628,3042.346679,13414.8418,4402.004352,254.949026,32.422919,26.922794,27.526793,26.318795,22.015906,0.996109
TOI_2094_30s.0220.fits,0,59367.83828,2459367.838,2459367.838854,1.265583,30,44.359059,27,37,54,0.20666,0.187051,0.116722,2.815371,0.000156,0.000164,0.000131,0.002063,1324.68478,1137.878364,891.819248,1364.455914,13438527.04,4017.183005,988.517527,125.745124,989.017527,130.754876,16.942904,70.028959,2777207.53,2290.221044,1925.126741,1442.61023,3625.135742,1212.637329,252.360115,4118,33.907471,27.14891,26.845674,27.452147,280.54769,0.999427,1297.686822,184.745344,1298.186822,71.754656,16.93905,70.02448,2117589.226,1733.142244,1221.82079,2786.228027,924.622202,248.074772,33.945973,27.267849,27.310198,27.2255,324.073319,0.999901,85.305073,64.747906,85.805073,191.752094,16.954216,70.03481,1404618.336,1513.935821,927.792524,2047.799438,613.311252,249.380723,32.772542,26.904306,27.186945,26.621666,0.411144,0.999559,1988.273179,116.40526,1988.773179,140.09474,16.930353,70.027215,9916319.478,3292.715534,3011.593129,13231.51172,4329.852571,259.64589,32.503438,26.893122,27.511502,26.274742,22.028854,0.995909
TOI_2094_30s.0221.fits,0,59367.83866,2459367.839,2459367.839233,1.265807,30,44.377072,27,37,54,0.207086,0.187492,0.117742,2.798981,0.000153,0.000161,0.000128,0.002005,1352.864292,1162.947632,916.668589,1396.024131,13828359.75,4059.933807,988.82191,125.058684,989.32191,131.441316,16.9429,70.029003,2863654.426,2290.221044,1942.600711,1474.134344,3625.135742,1250.383422,249.090837,4160,34.116848,27.1625,26.870326,27.454673,280.126386,0.999474,1298.001102,184.032395,1298.501102,72.467605,16.939046,70.024525,2183350.17,1747.171763,1249.648269,2944.807861,953.336,244.809091,33.821411,27.283497,27.35823,27.208764,332.341957,0.999907,85.519339,64.01524,86.019339,192.48476,16.954213,70.034856,1456668.016,1526.100718,954.503198,2144.834961,636.038176,245.081448,32.939948,26.957237,27.212603,26.701871,1.954583,0.999639,1988.585014,115.59403,1989.085014,140.90597,16.930349,70.027266,10188341.57,3331.886845,3057.829405,13726.84961,4448.628045,257.058571,32.271021,26.857115,27.480584,26.233646,21.330776,0.996018
TOI_2094_30s.0222.fits,0,59367.83904,2459367.839,2459367.839614,1.266064,30,44.262669,27,37,54,0.206522,0.186829,0.116793,2.81682,0.000154,0.000162,0.000129,0.002038,1340.167254,1152.039794,904.97816,1382.095929,13675301.23,4042.353036,988.75045,125.62904,989.25045,130.87096,16.942901,70.028966,2824244.059,2290.221044,1934.970799,1459.57968,3634.505859,1233.175316,250.8977,4203,33.887231,27.150739,26.859683,27.441794,281.719483,0.999454,1297.968592,184.650583,1298.468592,71.849417,16.939047,70.024485,2152751.009,1739.86081,1237.312201,2851.861328,939.975211,246.728376,33.742024,27.295612,27.345626,27.245599,324.351241,0.999869,85.469717,64.556925,85.969717,191.943075,16.954214,70.034821,1430153.305,1518.539547,941.795232,2116.823486,624.460817,247.240364,32.774215,26.940057,27.205795,26.674318,0.562597,0.999611,1988.543214,116.28562,1989.043214,140.21438,16.93035,70.027222,10092396.91,3317.761304,3041.92978,13559.91504,4406.73486,258.5655,32.270133,26.875457,27.473699,26.277215,22.1569,0.996133
TOI_2094_30s.0223.fits,0,59367.83942,2459367.839,2459367.839999,1.266329,30,44.33809,27,37,54,0.206679,0.18732,0.117199,2.807032,0.000155,0.000163,0.00013,0.002036,1335.257655,1148.721155,903.732708,1378.490243,13570230.17,4028.138308,988.787932,125.308544,989.287932,131.191456,16.9429,70.028987,2804680.628,2290.221044,1928.445886,1454.373518,3612.24707,1224.633157,249.185597,4067,34.000551,27.221707,26.917425,27.525989,283.794314,0.999364,1298.024115,184.402709,1298.524115,72.097291,16.939046,70.024501,2140938.339,1734.894224,1234.045459,2755.192139,934.817338,245.41875,34.16092,27.355603,27.461341,27.249865,330.428368,0.999773,85.598985,64.361724,86.098985,192.138276,16.954213,70.034834,1423578.598,1513.241713,940.747659,2109.8479,621.590043,245.887651,32.554184,27.001769,27.265095,26.738442,353.795865,0.999601,1988.638467,115.9308,1989.138467,140.5692,16.930349,70.027245,10005713.24,3305.471189,3027.015716,13460.54981,4368.88538,257.026257,32.374036,26.947132,27.569771,26.324494,19.309625,0.996505
