,TIC_ID,TOI,P (days),dP,Epoch,Dur,RA (J2000),DEC (J2000),Tmag,Depth,R_E,dRe,Rs,dRs,Teff,Logg,Teq,Disposition,Sectors
3618,455784423,3629.01,3.9381727,0.0006083,1784.2561304,2.179,359.7923514,39.3142512,12.788,16580.0,8.11884,0.323868,0.61,0.02,3689.0,4.64,671.0,PC,[17]
3641,315907220,3606.01,9.3123063,0.0009019,1777.4271301,4.42,321.2450925,57.6666339,12.686,13280.0,,,,,3979.0,,699.0,PC,"[15, 16, 17]"
3728,445751830,3757.01,3.4389623,0.0002814,1838.7723247,1.681,91.0037101,55.0201651,13.186,32110.0,11.9713,0.686335,0.64,0.02,3902.0,4.62,727.0,PC,[19]
3734,468777766,3750.01,12.4844641,0.0014759,1826.4258615,2.827,76.4236784,67.8204042,12.986,17130.0,8.49489,0.407563,0.63,0.02,3815.0,4.63,463.0,PC,[19]
3741,87091417,3743.01,2.1186344,0.0009396,1840.2331563,2.553,58.4909569,58.7480913,12.751,4200.0,,,,,3898.0,,1092.0,PC,[19]
3742,286696848,3742.01,8.9279009,0.0009795,1835.622721,3.278,72.7993826,50.097027,12.881,49560.0,15.0384,0.639276,0.67,0.02,3916.0,4.59,570.0,O,[19]
3769,155867025,3714.01,2.1548334,0.0001509,1840.5108594,1.547,69.5522317,39.4583081,13.175,45880.0,11.1785,0.393427,0.51,0.02,3538.0,4.73,704.0,PC,[19]
3826,458419328,3785.01,4.6733703,0.0006418,1861.4896324,1.619,130.9006338,63.0781501,12.496,9180.0,4.92584,0.225268,0.5,0.01,3502.0,4.74,517.0,PC,[20]
3885,86263325,3884.01,4.548475,0.0006424,1920.2883441,1.475,181.5726544,12.5069127,12.911,29570.0,5.55416,0.273137,0.3,0.01,3192.0,4.92,439.0,PC,[22]
3951,20182780,3984.01,4.3529162,0.000195,1974.955516,1.96,226.3374099,36.7867909,13.461,22510.0,7.43426,0.307242,0.46,0.01,3422.0,4.77,552.0,PC,"[23, 24]"
4194,426017070,4181.01,0.599246232075453,4.1201765e-06,1354.57630853063,2.21604622404521,42.812277,-73.155533,15.006,23336.7389089149,2.98511066933168,1.7268035,0.180000007152557,0.104,31000.0,5.59998,5578.91379551692,PC,"[2, 13, 27, 28, 29]"
4198,54962195,663.03,7.10274666146155,4.7118785e-05,1547.11079303798,2.14993803516237,160.0665,-8.5107,11.672,1430.81709174585,1.94990224504174,2.0255024,0.512360990047455,0.0152398,3719.0,4.76941,481.308600987307,PC,"[9, 35]"
4199,77156829,696.03,4.96520685527644,1.8849563e-05,1414.56293270663,0.936152358432916,68.1776,-39.7867,10.51,633.058084917184,0.856692464166333,2.6625428,0.338189989328384,0.0104196,3450.0,4.89044,462.952133709335,PC,"[4, 5, 31, 32]"
4201,271596225,797.03,2.73097285562449,1.4903082e-05,1327.46294268762,1.19545445318629,108.5617,-74.6025,11.664,388.739432435892,0.977830533505146,1.2069414,0.473702013492584,0.0140887,3704.0,4.77431,634.824739476222,PC,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36]"
4202,396720998,709.02,777.051674199127,0.009044809,1399.22113503163,4.3877266333807,65.655287,-54.147186,14.221,7211.92648864213,1.33961015255259,1.017282,0.146999999880791,0.111,50000.0,5.80276,738.05239299437,PC,"[3, 4, 5, 30, 31, 32]"
4207,394357918,4184.01,4.90198960417051,2.1563324e-05,1326.78970773485,1.27922142840391,43.8266,-79.4154,14.37,10902.0154849916,2.53263528189771,0.6783872,0.240806996822357,0.00741195,3147.0,5.04654,382.399764213587,PC,"[1, 28]"
4213,424747720,4188.01,10.2813283926383,2.9710822e-05,1655.60416065379,2.44149163761176,290.67227,-51.426226,12.973,37333.9631684062,11.875911930378,0.42105705,0.593316972255707,0.0176925,3919.0,4.63413,464.462816780139,PC,"[13, 27]"
4226,95057860,4201.01,3.5809733,0.0003732,1485.2863086,2.18,90.4746718,-13.4613977,13.501,36850.0,12.0428,0.469155,0.61,0.02,3790.0,4.64,702.0,PC,[6]
4250,114103136,4219.01,1.1471548,0.0001725,1515.1451733,1.403,113.9829577,-30.7482144,16.066,2670.0,3.90118,,0.75,,3901.0,4.47,1107.0,PC,[7]
4263,74197917,4261.01,1.5040804,0.0002519,1567.1693412,2.955,137.2850474,-46.1846589,13.768,6130.0,,,,,3810.2,,1354.0,PC,"[8, 9, 35, 36]"
4324,219175972,2441.02,5.55148569021324,4.364267e-05,1325.90859127634,2.01869268398232,91.4105346322304,-51.680167257902,12.8332,1282.32278991626,2.03190621977919,0.26606938,0.467689990997314,0.0140024,3478.0,4.76582,481.205366975619,PC,"[1, 5, 7, 11, 28, 31, 32, 33, 34]"
4326,153065527,406.02,6.61491101611225,3.1293035e-05,1385.38837000458,0.965460471736427,49.2624,-42.2424,11.222,1060.57158192671,1.27315538404388,3.2967181,0.388608992099762,0.0116001,3349.0,4.94138,409.250685729343,PC,"[3, 4, 30, 31]"
4338,251086776,4312.01,80.6797247209889,0.0004215629,1434.86493597873,2.25433676045496,37.5479072275507,-3.40490371321005,10.4779,1707.69278089714,2.43852958903519,0.47190765,0.550329983234406,0.0173641,3808.0,4.69366,228.06063051818,PC,"[4, 31]"
4343,44898913,4306.01,2.72990488543893,1.19619135e-05,1413.19188183461,0.825728846912796,64.1298408207337,-28.3147096291883,14.2683,7427.72496639624,1.35136063406926,0.77290535,0.155497997999191,0.00468671,2887.0,5.15917,362.191014635742,PC,"[4, 5, 31, 32]"
4351,140687214,4327.01,0.830330087569402,8.535387e-06,1411.37655198798,0.868582934522171,73.2067414796876,-76.3400256290973,12.1285,554.035345698947,1.55916665371166,0.30990976,0.565454006195068,0.0167656,3672.0,4.68064,1020.68768861485,PC,"[4, 5, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36]"
4353,202185707,4325.01,1.6500673350986,1.2731499e-05,1469.36887596215,0.919867870963516,101.8483,6.1294,11.559,2709.53495756801,2.39900778402387,1.2909414,0.454048991203308,0.0138638,3896.0,4.70541,712.128278203547,PC,"[6, 33]"
4354,143022742,4323.01,14.676265843378,0.00032541223,1416.54812350835,3.23204554927842,54.4669196099915,-30.0571774164359,12.531,3499.93797342749,2.8523347853539,1.2104801,0.458860993385315,0.0136024,3414.0,4.77364,339.504948795957,IS,"[4, 31]"
4355,408416746,4324.01,6.25099896551684,2.409182e-05,1518.99542491772,1.19323574182688,145.648638552046,-19.2347604726867,9.75311,799.760139795749,1.3119877111596,0.19412069,0.395397007465363,0.0119085,3479.0,4.8309,438.807897776396,PC,"[8, 35]"
