Label,Saturated,J.D.-2400000,JD_UTC,BJD_TDB,AIRMASS,EXPTIME,FWHM_Mean,Source_Radius,Sky_Rad(min),Sky_Rad(max),rel_flux_T1,rel_flux_C2,rel_flux_C3,rel_flux_C4,rel_flux_err_T1,rel_flux_err_C2,rel_flux_err_C3,rel_flux_err_C4,rel_flux_SNR_T1,rel_flux_SNR_C2,rel_flux_SNR_C3,rel_flux_SNR_C4,tot_C_cnts,tot_C_err,X(IJ)_T1,Y(IJ)_T1,X(FITS)_T1,Y(FITS)_T1,RA_T1,DEC_T1,Source-Sky_T1,N_Src_Pixels_T1,Source_Error_T1,Source_SNR_T1,Peak_T1,Mean_T1,Sky/Pixel_T1,N_Sky_Pixels_T1,FWHM_T1,Width_T1,X-Width_T1,Y-Width_T1,Angle_T1,Roundness_T1,X(IJ)_C2,Y(IJ)_C2,X(FITS)_C2,Y(FITS)_C2,RA_C2,DEC_C2,Source-Sky_C2,Source_Error_C2,Source_SNR_C2,Peak_C2,Mean_C2,Sky/Pixel_C2,FWHM_C2,Width_C2,X-Width_C2,Y-Width_C2,Angle_C2,Roundness_C2,X(IJ)_C3,Y(IJ)_C3,X(FITS)_C3,Y(FITS)_C3,RA_C3,DEC_C3,Source-Sky_C3,Source_Error_C3,Source_SNR_C3,Peak_C3,Mean_C3,Sky/Pixel_C3,FWHM_C3,Width_C3,X-Width_C3,Y-Width_C3,Angle_C3,Roundness_C3,X(IJ)_C4,Y(IJ)_C4,X(FITS)_C4,Y(FITS)_C4,RA_C4,DEC_C4,Source-Sky_C4,Source_Error_C4,Source_SNR_C4,Peak_C4,Mean_C4,Sky/Pixel_C4,FWHM_C4,Width_C4,X-Width_C4,Y-Width_C4,Angle_C4,Roundness_C4
TOI_2094_30s.0336.fits,0,59367.88236,2459367.882,2459367.882937,1.31205,30,44.356361,27,37,54,0.205869,0.186676,0.116005,2.82765,0.00016,0.000169,0.000134,0.002134,1288.962644,1104.642507,863.469577,1324.897074,12926237.74,3958.491191,991.369549,125.099473,991.869549,131.400527,16.942868,70.028994,2661114.293,2290.221044,1896.894859,1402.879174,3345.796875,1161.946485,254.611439,4124,33.921954,27.42679,27.32586,27.52772,281.786602,0.999936,1300.46764,184.16215,1300.96764,72.33785,16.939015,70.024511,2033428.444,1716.137725,1184.886513,2554.044922,887.874316,251.146729,34.181956,27.581933,27.802592,27.361275,345.685945,0.999668,87.837407,64.075748,88.337407,192.424252,16.954184,70.034847,1343640.396,1496.901769,897.614275,1984.404297,586.685901,251.887842,32.273628,27.075087,27.381945,26.76823,7.107633,0.999453,1990.742575,115.798106,1991.242575,140.701894,16.930322,70.027248,9549168.902,3237.871047,2949.212234,12286.14551,4169.540283,262.30311,32.629704,27.144926,27.690468,26.599384,19.149585,0.997379
TOI_2094_30s.0416.fits,0,59367.91275,2459367.913,2459367.913329,1.367176,30,44.388144,27,37,54,0.205899,0.186598,0.116254,2.825545,0.000149,0.000156,0.000123,0.001971,1383.679009,1195.156603,942.97053,1433.465474,14157325.84,4068.059819,992.182454,126.192857,992.682454,130.307143,16.942858,70.028923,2914983.685,2290.221044,1933.016796,1507.997081,3530.669922,1272.795782,223.457677,4021,33.667954,27.903229,27.908016,27.898442,315.977304,0.999899,1301.157586,185.304821,1301.657586,71.195179,16.939007,70.024436,2226303.789,1731.49877,1285.76689,2752.243896,972.091229,219.56563,33.858277,27.90566,28.067915,27.743404,358.454866,0.999864,88.416567,65.387848,88.916567,191.112152,16.954178,70.034762,1474430.946,1500.54109,982.599514,1963.315308,643.794166,219.095022,33.079409,27.709615,28.100471,27.318759,5.072304,0.999179,1991.494153,116.954881,1991.994153,139.545119,16.930313,70.027172,10456591.11,3361.457889,3110.730954,13225.52051,4565.756276,234.378199,32.461831,27.515711,28.057359,26.974063,13.751639,0.998031
TOI_2094_30s.0334.fits,0,59367.8816,2459367.882,2459367.882178,1.310935,30,44.376022,27,37,54,0.205919,0.186278,0.11646,2.826447,0.000165,0.000174,0.00014,0.002201,1250.364389,1070.998505,834.20115,1283.949131,12444654.27,3913.884703,990.605254,125.038887,991.105254,131.461113,16.942877,70.029,2562596.594,2290.221044,1884.361997,1359.927975,3239.847656,1118.929808,269.415503,4109,34.101777,27.284322,27.213204,27.35544,295.027566,0.999934,1299.718328,184.15602,1300.218328,72.34398,16.939024,70.024513,1954149.627,1702.412229,1147.871,2531.196777,853.258087,265.881827,34.239446,27.445229,27.640147,27.25031,336.398865,0.999563,87.276226,64.075009,87.776226,192.424991,16.954191,70.034849,1298124.184,1498.068923,866.531683,1956.953979,566.811744,266.407897,32.416293,26.956586,27.249349,26.663824,3.806027,0.99952,1989.893,115.608435,1990.393,140.891565,16.930333,70.027262,9192380.459,3189.996172,2881.627426,12292.08496,4013.752507,275.715134,32.338064,26.987614,27.588496,26.386733,15.95025,0.997251
TOI_2094_30s.0522.fits,0,59367.95304,2459367.953,2459367.953616,1.473964,30,44.374075,27,37,54,0.205931,0.189477,0.116418,2.794022,0.000163,0.000176,0.000143,0.002177,1260.537397,1076.362642,814.253039,1283.338727,14359913.43,4406.588479,993.439351,128.261082,993.939351,128.238918,16.942843,70.028787,2957146.078,2290.221044,2163.323783,1366.94567,3834.142334,1291.20553,472.454087,4252,33.569705,27.815568,27.740388,27.890749,282.422075,0.999965,1301.95665,188.056095,1302.45665,68.443905,16.938998,70.024258,2287454.7,1990.335663,1149.280869,17994.33789,998.792106,469.495766,34.186633,27.933353,27.912136,27.954569,303.165528,0.999986,89.728513,67.512479,90.228513,188.987521,16.954162,70.034623,1497424.287,1778.104266,842.146502,2293.716553,653.833956,466.23208,32.887132,27.547366,27.771471,27.323262,8.205221,0.999712,1992.227775,118.679607,1992.727775,137.820393,16.930305,70.02706,10575034.44,3506.412867,3015.912513,13758.06152,4617.473264,487.998732,32.544356,27.565155,27.944311,27.185999,20.831036,0.998645
TOI_2094_30s.0367.fits,0,59367.89414,2459367.894,2459367.894716,1.331005,30,44.121177,27,37,54,0.20594,0.186469,0.116155,2.828052,0.000147,0.000154,0.000122,0.00195,1398.929285,1209.156299,954.807519,1450.286169,14368629.64,4085.794261,991.849053,125.879303,992.349053,130.620697,16.942862,70.028943,2959069.33,2290.221044,1940.679207,1524.75964,3749.436035,1292.045297,217.766815,4117,33.134865,27.494153,27.447555,27.540751,72.563802,0.999983,1300.730442,185.07765,1301.230442,71.42235,16.939012,70.024452,2258213.6,1735.567542,1301.138415,2792.099854,986.024299,213.336898,34.12575,27.699639,27.915832,27.483446,5.474799,0.999747,88.028729,64.817133,88.528729,191.682867,16.954182,70.0348,1495295.861,1502.600857,995.138432,2094.907715,652.904602,214.47939,32.888617,27.339049,27.628504,27.049594,5.267763,0.999536,1991.045904,116.55693,1991.545904,139.94307,16.930319,70.027199,10615120.18,3379.898033,3140.662847,14006.66113,4634.976263,226.778822,32.102076,27.294376,27.86771,26.721041,19.234642,0.997123
TOI_2094_30s.0382.fits,0,59367.89984,2459367.9,2459367.900414,1.341294,30,44.390691,27,37,54,0.205941,0.186227,0.115851,2.834149,0.000148,0.000155,0.000123,0.001972,1388.318785,1198.696172,944.583311,1437.443174,14247632.73,4077.170236,991.698061,125.297682,992.198061,131.202318,16.942864,70.028981,2934173.609,2290.221044,1939.521114,1512.834064,3629.988281,1281.174853,222.229993,4200,33.395891,27.591269,27.554709,27.627829,302.026858,0.999963,1300.524436,184.633356,1301.024436,71.866644,16.939015,70.02448,2236755.277,1734.87556,1289.288598,2770.709473,976.654757,219.003966,33.764251,27.706852,27.870641,27.543063,354.156096,0.999854,88.043169,64.43997,88.543169,192.06003,16.954182,70.034824,1479227.399,1503.199394,984.052684,2007.167725,645.888484,219.413001,33.243634,27.440448,27.700061,27.180835,4.910369,0.999631,1990.906456,116.016559,1991.406456,140.483441,16.93032,70.027234,10531650.05,3369.557167,3125.529417,13324.17676,4598.529943,232.256726,32.625807,27.415415,27.942044,26.888786,17.644862,0.997786
TOI_2094_30s.0350.fits,0,59367.88768,2459367.888,2459367.888254,1.320273,30,44.245864,27,37,54,0.20596,0.186397,0.116373,2.826234,0.000146,0.000152,0.00012,0.001924,1415.447465,1223.855429,969.724655,1469.003885,14595078.11,4107.133324,991.007663,125.484904,991.507663,131.015096,16.942873,70.028971,3006009.145,2290.221044,1947.976632,1543.144356,3850.156982,1312.541055,211.69591,3986,33.523791,27.231337,27.049058,27.413616,280.230865,0.999796,1299.999679,184.646217,1300.499679,71.853783,16.939021,70.024481,2293058.852,1740.601932,1317.394178,2838.844727,1001.239098,208.288124,34.206997,27.429151,27.582551,27.275752,341.746541,0.999806,87.477647,64.558477,87.977647,191.941523,16.954189,70.034817,1521416.908,1504.563475,1011.201543,2161.705566,664.310072,207.906558,32.511424,26.931444,27.185852,26.677037,1.564758,0.999642,1990.178629,116.106389,1990.678629,140.393611,16.930329,70.02723,10780602.35,3402.225419,3168.691379,14243.25684,4707.232248,220.247142,32.460321,27.015837,27.571613,26.460062,19.385183,0.997217
TOI_2094_30s.0550.fits,0,59367.96367,2459367.964,2459367.964244,1.509502,30,44.623643,27,37,54,0.205964,0.187682,0.116634,2.809887,0.000278,0.000316,0.000279,0.003986,740.294313,593.47753,417.711426,704.959816,14432681.35,6932.418814,994.028443,128.362589,994.528443,128.137411,16.942836,70.02878,2972617.794,2290.221044,3753.021385,792.059914,6629.015137,1297.961086,3142.788547,4178,33.508986,27.604882,27.601596,27.608168,314.020864,0.999951,1302.801137,187.580376,1303.301137,68.919624,16.938987,70.024287,2280705.559,3681.417797,619.518263,5730.069336,995.845167,3147.251396,34.309244,27.820923,28.038704,27.603142,2.717406,0.999753,90.170919,67.404244,90.670919,189.095756,16.954156,70.034629,1507512.272,3541.410226,425.681346,4959.967773,658.238765,3123.98042,33.104949,27.471264,27.705633,27.236895,7.173482,0.99969,1993.175521,118.876209,1993.675521,137.623791,16.930293,70.027045,10644463.52,4686.577348,2271.265944,16458.00391,4647.788714,3192.447329,33.037794,27.407386,27.854965,26.959808,15.024273,0.998577
TOI_2094_30s.0342.fits,0,59367.88464,2459367.885,2459367.885219,1.315463,30,44.510308,27,37,54,0.205981,0.186529,0.11675,2.82044,0.000147,0.000154,0.000122,0.001941,1402.949709,1211.206793,955.780662,1453.192728,14627166.49,4140.471938,991.335358,124.386823,991.835358,132.113177,16.942868,70.02904,3012913.625,2290.221044,1970.947254,1528.662738,3760.421143,1315.555821,236.152409,4121,34.109484,27.228084,27.111595,27.344574,293.447836,0.999843,1300.309145,183.454831,1300.809145,73.045169,16.939017,70.024556,2299470.186,1765.28551,1302.605258,2957.983154,1004.038537,231.854615,34.171755,27.36704,27.582913,27.151168,343.606113,0.999648,87.830405,63.540398,88.330405,192.959602,16.954184,70.034882,1529189.771,1535.666025,995.782772,2615.623047,667.704008,233.170604,32.555428,26.837594,27.17274,26.502448,1.94411,0.999374,1990.45502,114.916907,1990.95502,141.583093,16.930325,70.027305,10798506.53,3415.992506,3161.162243,14161.7207,4715.049911,244.23274,32.775888,26.906097,27.50581,26.306384,16.447356,0.997184
TOI_2094_30s.0546.fits,0,59367.96215,2459367.962,2459367.962726,1.50408,30,44.465522,27,37,54,0.205984,0.187489,0.116563,2.812699,0.000246,0.000277,0.000244,0.003506,836.306732,676.870664,477.803972,802.240009,14430171.38,6221.961799,993.301095,128.167877,993.801095,128.332123,16.942845,70.028794,2972386.8,2290.221044,3315.064021,896.630286,5745.26123,1297.860225,2267.183557,4149,33.336729,27.564433,27.495286,27.63358,292.682539,0.999949,1302.207273,187.32661,1302.707273,69.17339,16.938995,70.024304,2278340.352,3214.381963,708.795774,4824.733887,994.812425,2268.330204,34.265516,27.809927,27.914559,27.705296,9.489804,0.999937,89.528267,67.011931,90.028267,189.488069,16.954164,70.034656,1506424.94,3089.31953,487.623545,4079.460449,657.763993,2252.203698,33.015665,27.416989,27.681747,27.152231,9.151984,0.999586,1992.505615,118.638781,1993.005615,137.861219,16.930301,70.027062,10645406.08,4340.122356,2452.789394,15668.62012,4648.200273,2304.450895,32.772386,27.371119,27.739984,27.002255,19.458173,0.9988
