TOI
617.01
226.01
497.01
529.01
513.01
1495.01
566.01
543.01
639.01
531.01
436.01
636.01
450.01
749.01
633.01
643.01
1285.01
1289.01
1284.01
716.01
1540.01
975.01
975.01
920.01
920.01
549.01
1202.01
472.01
528.01
278.01
717.01
516.01
224.01
1276.01
1760.01
1474.01
1646.01
973.01
667.01
551.01
468.01
256.01
256.02
1779.01
1796.01
562.01
455.01
540.01
263.01
127.01
270.01
270.02
270.03
732.01
732.02
704.01
134.01
731.01
1235.01
1468.01
1468.02
1078.01
700.01
700.02
700.03
696.01
696.02
1266.01
1266.02
1827.01
519.01
212.01
620.01
218.01
674.01
177.01
206.01
756.01
234.01
1201.01
910.01
552.01
555.01
532.01
521.01
805.01
789.01
771.01
654.01
460.01
1640.01
709.01
1680.01
1227.01
457.01
486.01
1696.01
464.01
1728.01
1693.01
912.01
1442.01
1634.01
244.01
210.01
530.01
870.01
142.01
1278.01
672.01
573.01
277.01
435.01
782.01
698.01
233.01
488.01
1632.01
488.11
0.11
1685.01
1759.01
1638.01
2015.01
797.01
1802.01
1749.02
1743.01
663.01
663.02
776.01
776.02
557.01
873.01
198.01
526.01
741.01
221.01
727.01
821.01
1178.01
1215.01
393.01
785.01
864.01
900.01
904.01
1245.01
1234.01
1243.01
1256.01
1450.01
1499.01
1470.01
833.01
1746.01
1238.01
1113.01
1467.01
538.01
1695.01
1732.01
1756.01
482.01
1899.01
1801.01
1955.01
2022.01
2013.01
1754.01
1752.01
1749.01
1238.02
1730.01
1730.02
714.01
714.02
797.02
1224.01
285.01
1639.01
1763.01
406.01
1724.01
1846.01
1745.01
1738.01
136.01
175.01
175.02
175.03
736.01
736.02
736.31
237.01
122.01
176.01
507.01
737.01
734.01
0.11
762.01
269.01
1080.01
1231.01
203.01
876.01
1633.01
454.01
715.01
1083.01
1433.01
1635.01
1448.01
1883.01
442.01
1880.01
1806.01
1452.01
227.01
2068.01
2072.01
2079.01
2081.01
2084.01
2084.02
2094.01
2095.01
2096.02
2095.02
2096.01
2119.01
2120.01
2136.01
2142.01
