TIC_ID,TOI,Priority,Dispo,P (days),dP,Epoch,Dur,RA (J2000),DEC (J2000),Tmag,Depth,R_E,dRe,R_s,dR_s,T_eff,logg,Met,M_s,D (pc),Sect,Rp/R*,a/R*,b,Insol,AB,T_eq,Notes,M_p,dM_p,LCO_rms,rms_err,Data
#427654774,1474.01,1,NPC,5.2239240,0.001436,1765.042474,4.0,349.287339,70.1900210,14.1,22109,4.13,0.31,0.276,0.008,3453,5.0,0,0.276,,17,0.1373,29.91,,6.6,,,,,,,,FALSE
#348755723,633.01,5,NPC,-,,-,-,-,-,13.9,-,-,,0.567,,3267,4.8,0,,,8,-,-,0.00,-,,,,,,,,TRUE
#365639282,482.01,1,NPC,10.8717000,0.005940,1472.412790,2.9,81.398600,8.4409000,13.1,14603,9.10,1.00,0.488,0.050,3692,5.0,0,0.488,173.80,6,0.1711,33.34,0.00,6.9,0.3,414,,,,-,-,FALSE
#43064903,1276.01,5,FA,6.2642980,0.002524,1712.548761,2.4,302.667462,40.6689980,12.5,9098,2.34,0.28,0.211,0.006,3145,5.0,0,0.211,24.52,15,0.1015,40.35,0.00,2.5,0.3,320,,,,,,FALSE
#387527558,1646.01,1,FA,3.6239090,0.002748,1794.103356,2.7,312.326644,70.7963540,13.0,26980,6.93,0.47,0.414,0.012,3514,5.0,0,0.414,,19,0.1536,17.88,0.00,19.8,0.3,537,,,,,,FALSE
#165551882,1633.01,1,FA,12.1582800,0.005805,1798.104217,2.1,266.766256,57.2247610,12.5,3431,1.92,1.06,0.323,0.010,3429,5.0,0,0.323,,18,0.0544,47.28,0.00,2.6,0.3,323,Try to observe again June 4,,,,,TRUE
259962054,203.01,1,FA,51.9532340,0.010389,1327.729066,6.3,43.018800,-67.6876000,12.2,2534,1.22,1.00,0.241,0.050,3203,5.0,0,0.241,24.80,"2,3,4,6,8",0.0465,151.41,0.00,0.2,0.3,168,"oooeeee, but followup light curves didn't look promising",,,-,-,FALSE
#32497972,876.01,1,FA,38.7017700,0.005052,1448.181557,2.4,84.108800,-24.2439000,11.5,2676,3.15,1.90,0.609,0.086,3955,4.7,0,0.609,103.20,6,0.0474,67.07,0.00,2.3,0.3,312,ooee,,,-,-,FALSE
#318937509,516.01,2,SB2,1.0486300,0.000073,1492.649974,1.1,112.381500,2.8481000,14.2,34645,4.18,,0.202,,3109,5.1,0,0.202,149.20,7,0.1900,12.63,0.00,24.3,0.3,566,,,,-,-,FALSE
#70797900,224.01,5,SB2,31.5799000,0.000020,1176.364160,1.9,1.977400,-29.9790000,11.0,100000,14.00,2.00,0.487,0.074,3689,4.8,0,0.487,64.77,2,0.2637,67.98,0.72,1.7,0.5,266,Crossfield AC Target,-,-,-,-,FALSE
#77951245,450.01,5,SB2,10.7147540,0.000131,1443.168000,2.0,79.000494,-31.4127040,12.4,57046,12.65,1.50,0.422,0.013,3160,4.8,0,0.416,53.51,6,0.2833,37.85,0.85,2.9,0.5,305,Elisabeth Newton is interested in this system,-,-,0.0007380,0.0001167,TRUE
#52280468,472.01,5,BEB,-,,-,-,-,-,-,-,-,,-,,3294,4.8,0,-,,6,-,-,0.00,-,,,,,,-,-,FALSE
#81212286,1724.11,1,BEB,nan,nan,nan,nan,127.033289,56.4275620,12.5,2676,1.98,2.02,0.380,0.011,3541,5.0,0,0.380,58.32,20,0.0478,nan,0.00,nan,0.3,nan,,,,,,FALSE
#81212286,1724.01,5,BEB,0.6847760,0.000099,1843.027821,1.1,127.033289,56.4275620,12.5,2676,1.98,2.02,0.380,0.011,3541,5.0,0,0.380,58.32,20,0.0478,6.24,0.00,167.7,0.3,917,,,,,,FALSE
13684720,1433.01,1,BEB?,12.4379450,0.000250,1695.012224,1.7,305.538023,36.0645720,12.5,128447,19.74,2.76,0.477,0.014,3275,5.0,0,0.475,67.96,"14, 15",0.3797,37.03,0.00,3.5,0.3,348,,,,,,FALSE
#5868998,749.01,3,BEB,0.6355400,0.000012,1569.933590,1.3,187.782200,-23.7735000,13.6,48322,15.18,2.10,0.442,0.069,3644,4.8,0,0.527,232.10,10,0.3146,3.42,0.93,626.3,0.5,1172,,-,-,0.0016818,0.0002884,TRUE
#153077621,454.01,1,BEB/SB1?,18.0825380,0.000215,1414.220898,2.3,49.660200,-42.6424000,9.4,8669,3.36,1.00,0.296,0.070,3321,5.0,0,0.287,78.96,4,0.1042,65.32,0.91,1.2,0.3,266,Crossfield AC Target,-,-,-,-,TRUE
#275248683,717.01,5,PNEB,0.5307900,,1518.266170,1.2,147.970700,2.1164000,11.4,1113,2.00,,0.540,,3788,4.9,0,,,8,0.0340,4.16,0.00,492.8,,,,,,-,-,FALSE
#200593988,526.01,1,PNEB,7.6990870,0.003345,1470.849292,4.4,85.335400,11.1946000,12.3,8072,6.21,,0.450,,3617,4.8,0,,111.80,6,0.1267,27.96,0.00,9.1,0.5,407,,,,-,-,FALSE
#9804616,460.01,1,SEB2,0.5168290,0.000007,1411.065871,0.9,47.643100,-9.2768000,14.1,33191,6.60,,0.273,,3274,5.0,0,,211.00,4,0.2217,6.45,0.00,114.7,0.3,834,Crossfield AC Target,,,-,-,FALSE
